bins,hist,errors
-1.4723852537412898,1.4935967548305e-05,4.897038540427869e-06
-1.3203871197433492,3.550352941810205e-05,1.1508040570005492e-05
-1.1683889857454088,9.794077080855738e-05,2.766826775341746e-05
-1.0163908517474685,0.00025562541181033474,7.370043003343943e-05
-0.8643927177495279,0.0007788739798550526,0.00022893655176500286
-0.7123945837515875,0.0034281718302265297,0.0010611882517107191
-0.5603964497536469,0.019895933033977367,0.006334074500116427
-0.4083983157557065,0.07028033831680461,0.02046900896917094
-0.25640018175776613,0.09067038253951114,0.02620123743266878
-0.10440204775982553,0.15972939944433304,0.04731371726605194
0.04759608623811484,0.23047079393971892,0.06943155911178495
0.19959422023605522,0.18629362985881104,0.05407726204616389
0.3515923542339958,0.11481816928621501,0.033677546172340006
0.5035904882319364,0.07465657680845797,0.021616262673229678
0.6555886222298766,0.04043313326482376,0.012857052261929859
0.8075867562278172,0.006277024001120442,0.0019660385480182786
0.9595848902257578,0.0012842483572272087,0.0003916406572707188
1.111583024223698,0.00037682711568592453,0.00011471312780952282
1.2635811582216385,0.00013687222720495893,4.248180933821176e-05
1.4155792922195791,4.970494118534287e-05,1.5180819475326393e-05
1.56757742621752,1.5915375256390573e-05,4.529760649895779e-06
