x,y
-2.2979399209079796,5.608372210137131e-14
-2.293647160730648,6.334566949983283e-14
-2.289354400553316,7.152937378592791e-14
-2.2850616403759845,8.074940034841269e-14
-2.2807688801986528,9.113424066844032e-14
-2.2764761200213206,1.0282796555192279e-13
-2.272183359843989,1.1599206972781745e-13
-2.267890599666657,1.3080752937005668e-13
-2.2635978394893255,1.4747709645899387e-13
-2.2593050793119938,1.6622785650629378e-13
-2.255012319134662,1.873140790505527e-13
-2.2507195589573303,2.110203935177693e-13
-2.2464267987799986,2.3766532656182283e-13
-2.2421340386026665,2.676052408892102e-13
-2.2378412784253348,3.0123871986652096e-13
-2.233548518248003,3.3901144694922564e-13
-2.2292557580706713,3.814216342007129e-13
-2.2249629978933396,4.290260599404828e-13
-2.220670237716008,4.824467819228604e-13
-2.216377477538676,5.423785994619754e-13
-2.2120847173613445,6.095973456485223e-13
-2.2077919571840123,6.849690993198784e-13
-2.2034991970066806,7.694604158239274e-13
-2.199206436829349,8.64149685943013e-13
-2.194913676652017,9.702397437088893e-13
-2.1906209164746855,1.0890718563441043e-12
-2.1863281562973538,1.222141243318299e-12
-2.182035396120022,1.3711142866303766e-12
-2.1777426359426904,1.5378476110494972e-12
-2.173449875765358,1.7244092313126649e-12
-2.1691571155880265,1.9331019833395427e-12
-2.1648643554106948,2.1664894785566934e-12
-2.160571595233363,2.4274248446070746e-12
-2.1562788350560314,2.7190825422610674e-12
-2.1519860748786996,3.044993577458345e-12
-2.147693314701368,3.4090844593385323e-12
-2.143400554524036,3.81572029012029e-12
-2.139107794346704,4.269752411048531e-12
-2.1348150341693723,4.776571070654003e-12
-2.1305222739920406,5.3421636275968935e-12
-2.126229513814709,5.973178850754129e-12
-2.121936753637377,6.676997934362761e-12
-2.1176439934600455,7.461812906370492e-12
-2.113351233282714,8.336713174140203e-12
-2.109058473105382,9.311781023812328e-12
-2.10476571292805,1.0398196968496662e-11
-2.100472952750718,1.1608355926635717e-11
-2.0961801925733865,1.2955995306008008e-11
-2.091887432396055,1.4456336171604092e-11
-2.087594672218723,1.612623878779105e-11
-2.0833019120413914,1.7984373947575684e-11
-2.0790091518640597,2.005141163529078e-11
-2.074716391686728,2.2350228714608335e-11
-2.070423631509396,2.4906137492468137e-11
-2.066130871332064,2.774713718242597e-11
-2.0618381111547324,3.090419047927693e-11
-2.0575453509774007,3.4411527661900843e-11
-2.053252590800069,3.8306980864534845e-11
