bins,hist,errors
-2.089036291734527,1.1997744424048279e-05,3.6727789053209016e-06
-1.8941059545911436,4.529760649895779e-05,1.4691115621283607e-05
-1.6991756174477601,0.0001451971927236863,4.11351237395941e-05
-1.5042452803043769,0.0003589529250133628,0.00010663301421781685
-1.3093149431609936,0.0007977275782356998,0.00023664938746617676
-1.1143846060176101,0.001930412592636666,0.0005609557648060124
-0.9194542688742269,0.005571115895517765,0.001674909606789842
-0.7245239317308436,0.02504516905923727,0.007890108496337382
-0.5295935945874604,0.11540361024372316,0.034465357247531345
-0.3346632574440771,0.1449694804315564,0.04044978319586122
-0.13973292030069384,0.1380024637000897,0.037667163471226596
0.05519741684268986,0.09891405721846742,0.03180234768924667
0.2501277539860731,0.108237039191734,0.03227711557574115
0.4450580911294564,0.15277315619765525,0.045340945290040575
0.6399884282728396,0.13817483945671274,0.039669072826553506
0.8349187654162229,0.05724001438749923,0.019247565131224716
1.0298491025596062,0.008725298419407355,0.002643788682013496
1.2247794397029894,0.0024776566495294805,0.0007422686167653542
1.4197097768463727,0.0008067870995354914,0.00023689423939319816
1.614640113989756,0.0002874561623231159,8.692243409259468e-05
1.80957045113314,8.22702474791882e-05,2.4730044629160738e-05
