target_x,target_y,gaze_x,gaze_y,error_px_x,error_px_y,error_px_xy,error_deg_x,error_deg_y,error_deg_z,error_deg_xyz
-0.2,0.05,-0.197968302631496,0.0527513502141456,0.00203169736850375,0.00275135021414562,0.00342019329834795,0.150710523021597,0.116598797310189,0.229712442864354,0.298457616940588
-0.2,0.065,-0.200066805991309,0.0664219715046237,-6.68059913091212e-05,0.00142197150462374,0.00142353995393059,0.0616295614101866,0.0608556060243958,0.157886246701151,0.180082484484621
-0.2,0.08,-0.201596651619853,0.0801677254243463,-0.0015966516198529,0.000167725424346274,0.00160543707853999,0.021892884638718,0.0139011806434499,0.100671407241439,0.103958051256619
-0.2,0.095,-0.202598119660633,0.094003458152461,-0.00259811966063322,-0.000996541847538987,0.00278268241538004,0.0988046677183543,0.0251002349223647,0.0573983011957472,0.116991255625012
-0.2,0.11,-0.203119163670057,0.107944168128767,-0.00311916367005673,-0.00205583187123325,0.00373572304693217,0.168074942945351,0.0569892908025979,0.0270824327614422,0.179528410694102
-0.2,0.125,-0.20321510771104,0.12200467414248,-0.00321510771103956,-0.00299532585752006,0.00439418872902773,0.228720203950074,0.0825758219432963,0.00842890797745594,0.243316324006362
-0.2,0.14,-0.20294809470136,0.136199251474551,-0.00294809470136025,-0.00380074852544927,0.00481008853576451,0.279830903996828,0.10260237095237,0.000151078548598811,0.298048325779764
-0.2,0.155,-0.202386285945896,0.150541250497112,-0.00238628594589554,-0.00445874950288815,0.00505715411521973,0.32059742021151,0.117708992865385,0.000511450810489537,0.341524113027196
-0.2,0.17,-0.201602826977543,0.165042715183463,-0.00160282697754315,-0.00495728481653722,0.00520996421026196,0.350334038729237,0.128401496114801,0.00526936065724941,0.373161012534705
-0.2,0.185,-0.200674610420375,0.179714020936687,-0.000674610420374769,-0.00528597906331284,0.00532885296072803,0.368499658719724,0.13502519653124,0.0149395439266127,0.392743677364615
-0.2,0.2,-0.199680881161862,0.194563551619672,0.000319118838137749,-0.00543644838032754,0.0054458064439365,0.374714043270871,0.137745992264259,0.0261334553251447,0.400085216547561
-0.2,0.215,-0.198701740974692,0.209597434382539,0.00129825902530762,-0.00540256561746096,0.00555636497611199,0.368768681256935,0.136540120071575,0.0364368510404802,0.394919999796214
-0.2,0.23,-0.197816617553189,0.224819347965351,0.00218338244681126,-0.00518065203464867,0.00562194934281277,0.350631646577667,0.131193365034864,0.0434545976022633,0.37688601039556
-0.2,0.245,-0.197102765808878,0.240230415657998,0.00289723419112162,-0.00476958434200193,0.0055805824744084,0.320446221558741,0.121309824405489,0.0448774574934065,0.345566495180376
-0.2,0.26,-0.196633866727898,0.255829188573676,0.00336613327210221,-0.00417081142632401,0.00535971278703519,0.278523450609895,0.106329642185548,0.0385446192631657,0.300611377560363
-0.2,0.275,-0.196478781577092,0.271611718913922,0.00352121842290805,-0.00338828108607793,0.00488665815257221,0.225329169910137,0.0855545071218271,0.0224989882019242,0.242072510088
-0.2,0.29,-0.196700507508516,0.287571716989865,0.00329949249148376,-0.00242828301013505,0.00409673151166491,0.161466376592847,0.0581792044380558,0.00496717574156762,0.171700045126491
-0.2,0.305,-0.197355366101226,0.303700780710535,0.00264463389877428,-0.00129921928946473,0.00294653342432482,0.0876540389993532,0.0233271808596837,0.0452779519421821,0.10137792428254
-0.2,0.32,-0.198492440642141,0.319988682369738,0.0015075593578594,-1.1317630261562e-05,0.00150760183942054,0.00470358021789013,0.019912058289193,0.0995516501350415,0.101632413546272
