target_x,target_y,gaze_x,gaze_y,error_px_x,error_px_y,error_px_xy,error_deg_x,error_deg_y,error_deg_z,error_deg_xyz
-0.2,0.05,-0.200960425643904,0.0505981091671101,-0.000960425643904389,0.000598109167110131,0.00113143802006576,0.0857072368827964,0.0147142008079461,0.0607196317522634,0.106061845409476
-0.2,0.065,-0.199847175838243,0.0664348330486263,0.000152824161756826,0.00143483304862625,0.00144294875232864,0.0956254908901845,0.0773371871393269,0.175188816878853,0.21404777473736
-0.2,0.08,-0.199544160531633,0.0817106575805928,0.000455839468366886,0.00171065758059281,0.00177034995946018,0.201563388818882,0.120091224987135,0.21895354507797,0.320921526530428
-0.2,0.095,-0.199683724186996,0.0965832673397752,0.000316275813004141,0.00158326733977522,0.0016145481903896,0.251836094545231,0.132126487363539,0.21876499841359,0.358799905822949
-0.2,0.11,-0.199996611227968,0.111191752029073,3.38877203201471e-06,0.00119175202907283,0.00119175684708547,0.263485638896277,0.126454527798753,0.194326058481525,0.350967849910188
-0.2,0.125,-0.200300039199394,0.125656538290822,-0.000300039199394142,0.000656538290822198,0.00072184904827035,0.250841950196212,0.111993086390097,0.159293544050429,0.317551297712584
-0.2,0.14,-0.200485608990428,0.140079006785196,-0.000485608990427849,7.90067851963311e-05,0.000491994068756336,0.225585389725575,0.094676151204299,0.122314828077598,0.273520384821521
-0.2,0.155,-0.200506632590711,0.154541289880692,-0.00050663259071107,-0.000458710119308162,0.000683440967111512,0.196878436900058,0.0783059258068781,0.0880496501453471,0.229446612917465
-0.2,0.17,-0.200365060894269,0.1691064814356,-0.000365060894268722,-0.000893518564399828,0.000965217530638254,0.171545134384744,0.0652066425314992,0.05813813216295,0.192509004039133
-0.2,0.185,-0.200098470721174,0.183819230047147,-9.84707211737282e-05,-0.00118076995285306,0.0011848688385172,0.154268397788615,0.0567122285828113,0.0320880781692778,0.167465459581259
-0.2,0.2,-0.199767526469099,0.198706493799453,0.000232473530900858,-0.00129350620054654,0.00131423066218296,0.147769821302007,0.0535045309147553,0.00807238875308744,0.157365288239407
-0.2,0.215,-0.19944406668413,0.213778158977992,0.00055593331586987,-0.00122184102200802,0.00134237004389836,0.152938647163534,0.0558113257434004,0.0163517043595273,0.163623134998582
-0.2,0.23,-0.199199644874788,0.229027281534572,0.000800355125212392,-0.000972718465428499,0.00125966247044171,0.168887019928033,0.0634697816021197,0.04357154659997,0.185606434359482
-0.2,0.245,-0.199094144335866,0.244429867271454,0.000905855664133634,-0.000570132728546072,0.00107033911093745,0.19292527575567,0.0758589843629124,0.0752560361311657,0.220540877301212
-0.2,0.26,-0.199164088905577,0.259944297747541,0.000835911094423172,-5.57022524589473e-05,0.000837764942396581,0.220469487429005,0.0917034501170773,0.111662141226225,0.263599836864057
-0.2,0.275,-0.19941047849153,0.275510655869253,0.000589521508470206,0.000510655869252599,0.000779939116695088,0.244908902307972,0.108747672083061,0.150885138794329,0.307527200042407
-0.2,0.29,-0.199786280078908,0.291050246058016,0.000213719921092023,0.00105024605801558,0.00107177095829699,0.257469366811802,0.123298647239931,0.188046563363728,0.341840442134458
-0.2,0.305,-0.200183937640832,0.306465515639647,-0.000183937640832244,0.00146551563964724,0.00147701359024404,0.247108859975416,0.129626944564458,0.214434830116183,0.351921325248642
-0.2,0.32,-0.200423276481761,0.321640386941295,-0.000423276481761437,0.00164038694129505,0.00169411696679529,0.200474424311481,0.119204081163799,0.216630199954316,0.318321397237454
-0.2,0.335,-0.200239887169044,0.336440756351704,-0.000239887169044412,0.00144075635170403,0.00146059053770988,0.101940794877333,0.0797313191741075,0.175656087082687,0.218183700979974
-0.2,0.35,-0.199273486383849,0.3507146673323,0.000726513616150531,0.000714667332300259,0.00101910324811046,0.0662527841899136,0.00612010873020146,0.0662063078694985,0.0938624755385088
-0.18,0.05,-0.178704717869209,0.0520324107621606,0.00129528213079141,0.00203241076216057,0.00241007246872239,0.00297857698405325,0.0356826456040242,0.127875399109007,0.132794008558652
-0.18,0.065,-0.178540371272325,0.0672513156996426,0.00145962872767486,0.00225131569964263,0.00268308374862043,0.113220030075296,0.0847595360539579,0.196609830580087,0.24219510108067
-0.18,0.08,-0.178942039318629,0.0820345764347139,0.00105796068137087,0.00203457643471394,0.00229320345194665,0.160337842837668,0.0968282217683629,0.206632264228781,0.27889240679876
-0.18,0.095,-0.179576574982278,0.0965206913039824,0.000423425017721496,0.00152069130398236,0.00157854071459687,0.162702428813205,0.0877068231956612,0.183819988961349,0.260680787053926
-0.18,0.11,-0.180206875994849,0.110832017666814,-0.000206875994849018,0.000832017666813706,0.000857351197080224,0.136042659974287,0.0681125252515499,0.146694364538547,0.211343816237473
-0.18,0.125,-0.180680876956754,0.125074028689311,-0.000680876956753895,7.4028689311223e-05,0.000684889536406845,0.0934456121692632,0.0450379769580466,0.107524664047956,0.149405715520968
-0.18,0.14,-0.180919524603798,0.139334659264686,-0.000919524603798072,-0.000665340735314157,0.00113499065681546,0.0454413002948671,0.0228115512911095,0.0734573642155693,0.0893379237418638
-0.18,0.155,-0.180903721402105,0.153684177406694,-0.000903721402105116,-0.00131582259330643,0.00159627737867781,0.000164834604493699,0.00392911784515017,0.0476202146767082,0.0477823201078422
-0.18,0.17,-0.180660830874735,0.168175721833709,-0.000660830874734585,-0.00182427816629147,0.00194028046246161,0.0364243418622813,0.0102975056665578,0.0301532236719736,0.0483940940640868
-0.18,0.185,-0.180251539830887,0.182846354054749,-0.000251539830886792,-0.00215364594525055,0.0021682857616137,0.0603013620173272,0.0192534087286133,0.0191307860801737,0.0661281745552516
-0.18,0.2,-0.179757674062533,0.19771826432424,0.000242325937467163,-0.00228173567575971,0.00229456740018766,0.0691570429405022,0.0226830390941602,0.0113623601797067,0.0736635651257272
-0.18,0.215,-0.179271103383668,0.212799706633177,0.000728896616331735,-0.00220029336682342,0.00231788290847209,0.0622434592461372,0.0204943369964719,0.00308803363820768,0.0656033725506499
-0.18,0.23,-0.178883374323494,0.228085333304291,0.00111662567650628,-0.00191466669570878,0.00221648403041607,0.0403132866907823,0.0126985570019536,0.00938882705662467,0.0432962422848858
-0.18,0.245,-0.178675397851527,0.243555815797423,0.00132460214847278,-0.00144418420257653,0.001959652740337,0.00566123672403702,0.000518037803506702,0.0290753170208583,0.0296258678219171
-0.18,0.26,-0.178706527866337,0.259176894957276,0.00129347213366277,-0.000823105042723704,0.00153315754960777,0.0377474904642707,0.0185919624068589,0.057614566549829,0.0713440469730336
-0.18,0.275,-0.179002683397529,0.274898207791223,0.000997316602471446,-0.000101792208776541,0.00100249790988949,0.0840962997728622,0.0402491594642613,0.0945262582110144,0.132768233601274
-0.18,0.29,-0.17954364720578,0.290652314733474,0.00045635279421978,0.00065231473347413,0.000796098225283555,0.125528943087814,0.0630383614412734,0.136352833383467,0.195763845028328
-0.18,0.305,-0.180250094071211,0.306354270463169,-0.000250094071210766,0.00135427046316924,0.00137716939113074,0.151998324865926,0.0827258985804804,0.175730995245816,0.246634429216273
