target_x,target_y,gaze_x,gaze_y,error_px_x,error_px_y,error_px_xy,error_deg_x,error_deg_y,error_deg_z,error_deg_xyz
-0.2,0.05,-0.197549034602869,0.0528780700101666,0.00245096539713052,0.00287807001016657,0.00378028019614305,0.185310957272937,0.131216603469696,0.237846806451471,0.328830272399452
-0.2,0.065,-0.199950434919637,0.0663620377174871,4.95650803630787e-05,0.00136203771748711,0.00136293926535591,0.08386118834744,0.0687946293911537,0.157454929840535,0.191200127618901
-0.2,0.08,-0.201745626713099,0.079976993719787,-0.00174562671309891,-2.30062802130393e-05,0.00174577831078684,0.00961094296930292,0.0164835719958753,0.0919510878799971,0.0939099723430681
-0.2,0.095,-0.202973578546369,0.093733064975823,-0.00297357854636898,-0.00126693502417704,0.00323222736312165,0.0941990373620597,0.0265648474325103,0.0408332951263415,0.106049568416937
-0.2,0.11,-0.203681439012028,0.107639618847826,-0.00368143901202769,-0.00236038115217382,0.00437314445025737,0.169048173234668,0.0612368981226627,0.00329374796873311,0.179828023082986
-0.2,0.125,-0.203924297332553,0.121705051206401,-0.00392429733255328,-0.00329494879359912,0.00512413866974003,0.23337905089731,0.0884229486578125,0.0217822941517342,0.250517399736293
-0.2,0.14,-0.203764679195756,0.135936584529663,-0.00376467919575613,-0.00406341547033685,0.00553932800360584,0.28651200070137,0.108981415065099,0.035806378196122,0.308623398971009
-0.2,0.155,-0.203271773466538,0.150340084968796,-0.00327177346653801,-0.0046599150312044,0.00569379572116763,0.327889682872517,0.123702402945058,0.0404648588428741,0.352777162801048
-0.2,0.17,-0.20252040160561,0.164919907080512,-0.00252040160560964,-0.00508009291948819,0.00567095832502705,0.357097250178707,0.133273101831216,0.0376851093461727,0.383015508213914
-0.2,0.185,-0.201589758544156,0.179678774108187,-0.0015897585441556,-0.00532122589181296,0.00555362739301228,0.373878788668929,0.138247039538289,0.0295908055524883,0.399717220472979
-0.2,0.2,-0.200561970010602,0.194617700138044,-0.000561970010601688,-0.00538229986195629,0.00541155819490379,0.378148991643981,0.139019168095717,0.018447921519063,0.403316236294237
-0.2,0.215,-0.199520525008791,0.209735958435173,0.000479474991209459,-0.00526404156482697,0.00528583293941657,0.369999262284889,0.135808435163523,0.00660377928665355,0.394192348955642
-0.2,0.23,-0.198548651802089,0.225031097793906,0.00145134819791064,-0.00496890220609401,0.00517652400026354,0.349697766228915,0.128649016191707,0.00357795472007494,0.37262902228487
-0.2,0.245,-0.1977277101329,0.240499006146771,0.00227228986710049,-0.00450099385322864,0.00504204788820272,0.317683322067678,0.117390780920983,0.00978311170783045,0.338820501714497
-0.2,0.26,-0.197135671072694,0.256134018109362,0.00286432892730601,-0.00386598189063835,0.00481146507651731,0.274553415624154,0.101708913665461,0.00981041031186286,0.292951723436543
-0.2,0.275,-0.196845748893359,0.271929060894861,0.00315425110664079,-0.00307093910513943,0.00440226839609072,0.221046987517641,0.0811219590421186,0.00162930465922354,0.23546820507343
-0.2,0.29,-0.196925237628869,0.287875831240986,0.00307476237113105,-0.00212416875901377,0.00373714550903407,0.158022953818464,0.0550169972801616,0.0165703589435214,0.168144940481659
-0.2,0.305,-0.197434589870277,0.303964994818125,0.00256541012972347,-0.00103500518187502,0.00276632696191104,0.0864356414698061,0.0226802187170108,0.0463388947808081,0.100661850819612
-0.2,0.32,-0.19842675853436,0.320186399073048,0.00157324146563992,0.000186399073047634,0.00158424534830999,0.00730843570639364,0.0166690978273755,0.0889388044389684,0.0907820726401863
-0.2,0.335,-0.199946805558853,0.336529290586693,5.3194441147375e-05,0.00152929058669315,0.00153021545774353,0.0782930461620183,0.0638432768914139,0.145328754067772,0.176992194040944
-0.2,0.35,-0.202031766322346,0.352982528720926,-0.00203176632234606,0.0029825287209258,0.00360881586670295,0.169287041879484,0.119651593874868,0.216159224122967,0.299498949722078
-0.18,0.05,-0.178860185336155,0.0518251378618598,0.00113981466384513,0.0018251378618598,0.00215181450936426,0.0055033358669949,0.031339188161138,0.12206781805623,0.126146700528692
-0.18,0.065,-0.181161736989568,0.0654312574372178,-0.00116173698956781,0.000431257437217794,0.00123919966514107,0.104515389558615,0.0227607224287184,0.0471498824959958,0.116895822421973
-0.18,0.08,-0.182847409040929,0.079158971128523,-0.00284740904092881,-0.000841028871476954,0.00296901798731852,0.195675469339688,0.0669393359579366,0.0114482125282385,0.207125257491143
-0.18,0.095,-0.183956714778887,0.0930174942214096,-0.00395671477888668,-0.00198250577859038,0.00442559837802805,0.278086292923002,0.102214010563094,0.0542526382800174,0.301203001248799
-0.18,0.11,-0.184537579813548,0.107015311031125,-0.00453757981354809,-0.00298468896887472,0.00543120601756567,0.350901223085044,0.129643224398418,0.0821318627117926,0.38299506923573
-0.18,0.125,-0.184646101496111,0.121159980450323,-0.00464610149611078,-0.0038400195496773,0.0060276039397149,0.413348989178348,0.150286495295302,0.0962992007914419,0.450242153480512
-0.18,0.14,-0.184346032759158,0.135457952166914,-0.00434603275915771,-0.00454204783308621,0.00628635023377756,0.464758344769357,0.165161621562459,0.0983024206247725,0.502935055746596
-0.18,0.155,-0.183707985447711,0.149914401884435,-0.00370798544771146,-0.0050855981155647,0.00629384336264219,0.504581418411803,0.175201483325697,0.0899995995294908,0.541664177041681
-0.18,0.17,-0.182808365270253,0.164533093505211,-0.00280836527025301,-0.00546690649478878,0.006146054190611,0.532414446989706,0.181212907583445,0.0735212583492866,0.567195966079653
-0.18,0.185,-0.181728068377353,0.179316275367322,-0.00172806837735273,-0.00568372463267824,0.00594061831941086,0.548014619978102,0.183840168004755,0.0512197343046316,0.580296106132629
-0.18,0.2,-0.180550986746635,0.194264616074654,-0.000550986746634701,-0.00573538392534577,0.0057617892330492,0.551311919081582,0.183535531796901,0.0256077004102953,0.581625981950827
-0.18,0.215,-0.179362384025545,0.209377183478882,0.000637615974454959,-0.00562281652111787,0.00565885321960521,0.542415092544694,0.180538870605006,0.000711415516364077,0.571674412376085
-0.18,0.23,-0.178247213658986,0.22465146805257,0.00175278634101392,-0.00534853194743015,0.00562841487009673,0.521611265889412,0.174867758704167,0.0251176927853653,0.550717967057097
-0.18,0.245,-0.177288455661853,0.240083449446274,0.00271154433814652,-0.00491655055372638,0.00561470765446267,0.489359092791209,0.166318731969074,0.0450498477734719,0.518811690512069
-0.18,0.26,-0.176565546874862,0.255667702729842,0.00343445312513832,-0.00433229727015815,0.00552849598948866,0.446275778588429,0.154479564316489,0.0580773475498607,0.475815390453315
-0.18,0.275,-0.176152971974256,0.271397538747484,0.00384702802574416,-0.00360246125251631,0.00527042234614479,0.393118710351493,0.138751619591334,0.0619658711924952,0.421467558128578
-0.18,0.29,-0.176119069974414,0.287265171544134,0.0038809300255864,-0.00273482845586554,0.00474772625016544,0.330762753374978,0.118380640175627,0.0547330355800987,0.355547585892578
-0.18,0.305,-0.176525094866511,0.303261904803289,0.00347490513348886,-0.00173809519671093,0.00388534948229588,0.260174505128641,0.0924938125395216,0.0346920784582407,0.278297630341102
-0.18,0.32,-0.177424551217892,0.319378328933863,0.00257544878210789,-0.000621671066137086,0.00264941717057413,0.182384909469167,0.0601406464820854,0.000482107201391355,0.192045357967972
-0.18,0.335,-0.17886280789218,0.335604520666563,0.00113719210781987,0.000604520666563357,0.00128788630181007,0.0984616265229182,0.0203351337025931,0.0489155257951756,0.111807612401773
-0.18,0.35,-0.180876977113173,0.35193023776256,-0.000876977113172583,0.00193023776255985,0.00212011949593427,0.00948243933095908,0.0279032038278647,0.114174269290737,0.117916386123582
-0.16,0.05,-0.160037701051805,0.0509959425645706,-3.77010518054499e-05,0.000995942564570626,0.000996655889076442,0.156239927390861,0.0431001163701254,0.00953018567448007,0.162355711379833
-0.16,0.065,-0.162247227136257,0.0647309192587397,-0.00224722713625722,-0.000269080741260252,0.00226327953360781,0.251032474440152,0.0884585737865019,0.0600347735403683,0.272848927475814
-0.16,0.08,-0.163832054281656,0.0785777092171086,-0.00383205428165639,-0.00142229078289136,0.00408748713620713,0.338197377064331,0.124108750425124,0.111846146529422,0.377214159641375
-0.16,0.095,-0.164832208201061,0.0925445350962062,-0.00483220820106084,-0.00245546490379385,0.00542029002841757,0.416870502630208,0.151245576094515,0.146451423168879,0.467017630451166
-0.16,0.11,-0.16529634281093,0.10663891799011,-0.00529634281092956,-0.00336108200989044,0.00627280793967856,0.486237177610663,0.171108716723183,0.16477784889983,0.541164210261981
-0.16,0.125,-0.165281498324754,0.120867502693646,-0.00528149832475416,-0.00413249730635354,0.00670609860808804,0.545556806308592,0.184935858786498,0.168136630110638,0.600088925883956
-0.16,0.14,-0.164852573633949,0.135235894418966,-0.00485257363394886,-0.00476410558103413,0.0068003068210292,0.594187477007084,0.193912723102903,0.158212408071175,0.644745263373683
-0.16,0.155,-0.164081507420385,0.149748514576817,-0.0040815074203845,-0.00525148542318277,0.00665107524935291,0.631609270946657,0.199122469434263,0.137036980370678,0.67628727105442
-0.16,0.17,-0.163046180459712,0.164408482711659,-0.00304618045971173,-0.00559151728834095,0.00636743912251584,0.657444916505938,0.201497488713642,0.106947226511612,0.69590137147118
-0.16,0.185,-0.161829070325509,0.179217530734054,-0.00182907032550875,-0.00578246926594589,0.00606485358992824,0.671476467148746,0.201776673921415,0.0705283052637787,0.704680759943926
-0.16,0.2,-0.160515707768248,0.194175954072552,-0.00051570776824782,-0.00582404592744776,0.00584683379849744,0.673656846899179,0.200471073342419,0.0305443116189008,0.703520697632287
-0.16,0.215,-0.159192999249696,0.209282602453001,0.000807000750303866,-0.00571739754699883,0.00577407004819125,0.664115382387354,0.197840352412662,0.0101404006559585,0.693035879157311
-0.16,0.23,-0.157947490763121,0.224534910839393,0.00205250923687872,-0.00546508916060721,0.005837807268218,0.643156817133898,0.19388175882256,0.048645235035669,0.673507542629672
-0.16,0.245,-0.156863652778719,0.239928968880611,0.00313634722128146,-0.00507103111938932,0.00596255234830311,0.61125374112143,0.188332369718429,0.0821582464117206,0.64486788171791
-0.16,0.26,-0.156022264371143,0.255459625117034,0.00397773562885746,-0.00454037488296639,0.00603633869253161,0.569032820318271,0.180684398740984,0.108017374425578,0.606725964169272
-0.16,0.275,-0.15549896654322,0.271120620512985,0.00450103345677955,-0.00387937948701528,0.00594212818637597,0.517255628312014,0.170212367182037,0.12378379566109,0.558435790144584
-0.16,0.29,-0.155363041380047,0.28690474459176,0.0046369586199532,-0.00309525540823964,0.0055751225354601,0.456795223125121,0.156010106332395,0.127303847865302,0.499208248477351
-0.16,0.305,-0.155676456665685,0.302804006766834,0.00432354333431531,-0.00219599323316555,0.00484926935154269,0.388609839562031,0.137034942175236,0.116756921763005,0.428286371090714
