target_x,target_y,gaze_x,gaze_y,error_px_x,error_px_y,error_px_xy,error_deg_x,error_deg_y,error_deg_xy
100,100,95.7620062187273,113.725797197334,-4.23799378127273,13.7257971973344,14.3651696819933,-0.149333697183735,0.483651731727302,0.506180818523495
386,100,353.026048536531,100.764643011049,-32.9739514634695,0.764643011048861,32.9828160418359,-1.16186015985736,0.026943652184347,1.16217248803895
672,100,682.457738858564,93.7641657012656,10.4577388585643,-6.2358342987344,12.1757928462667,0.368497074189574,-0.219731227734011,0.429035243799624
958,100,961.236507040987,81.1388930210803,3.23650704098725,-18.8611069789197,19.1367796218855,0.114044451542259,-0.664599571733595,0.674313090761602
1244,100,1258.21405470823,98.8359635782213,14.2140547082311,-1.16403642177875,14.2616384766903,0.500856097448758,-0.041017038361244,0.502532770010332
1530,100,1565.9525414074,116.535511904339,35.9525414073951,16.5355119043388,39.5728238515902,1.26680465573956,0.582655230924727,1.39435499018785
1816,100,1816.36208261722,116.165388506837,0.362082617222768,16.1653885068371,16.16944307633,0.0127586705154563,0.569613557837326,0.569756424783887
100,320,88.6657916387427,306.111394139715,-11.3342083612573,-13.8886058602855,17.9264511802741,-0.399380799380491,-0.489388501606554,0.631666248516486
386,320,355.006558967144,337.208328414585,-30.9934410328557,17.2083284145853,35.4502461751865,-1.09207985494229,0.606362563771416,1.24910745956979
672,320,664.269195959248,318.031889198334,-7.73080404075222,-1.9681108016664,7.97739250909386,-0.272409089779337,-0.0693501237012786,0.281098053378739
958,320,935.637075687312,306.941705238808,-22.3629243126877,-13.0582947611915,25.8963210878526,-0.78798780559094,-0.460131411146672,0.912486903509873
1244,320,1267.6887833184,312.955036191678,23.6887833184048,-7.04496380832177,24.7141653746773,0.834704629933074,-0.248242327888363,0.870833918188282
1530,320,1567.42123302516,333.084973816197,37.4212330251557,13.0849738161966,39.6429718978479,1.31855021554543,0.461071483269006,1.39682642357895
1816,320,1837.65553259831,291.960381221426,21.6555325983127,-28.0396187785735,35.428552233535,0.763062653138438,-0.988004883382224,1.24834312299285
100,540,107.990681270839,537.932865720975,7.99068127083933,-2.06713427902491,8.25372832722657,0.281566305383589,-0.0728394031630084,0.290835211538827
386,540,361.845123101865,523.082308733697,-24.1548768981347,-16.9176912663029,29.4901060653566,-0.851127436174482,-0.596121692297106,1.03911156593586
672,540,651.517409134552,593.672067364743,-20.4825908654479,53.6720673647433,57.4476052048027,-0.721733552626795,1.89106581839712,2.02406524883402
958,540,952.158648435598,532.646760942223,-5.84135156440163,-7.35323905777727,9.3910336353225,-0.205830925281341,-0.259104940141327,0.330910034606142
1244,540,1270.71011189344,546.409329041107,26.710111893444,6.4093290411065,27.4683377021157,0.941160496363652,0.225844622275567,0.967876172833655
1530,540,1564.17687732091,497.88655018736,34.1768773209137,-42.1134498126398,54.2365337990042,1.20424302505235,-1.48386466092591,1.91095039470936
1816,540,1815.16767436381,531.183122667518,-0.832325636193673,-8.81687733248236,8.85607655007038,-0.0293285782322868,-0.31067870245773,0.31205995134231
100,760,98.859517751333,717.850005556178,-1.14048224866701,-42.1499944438217,42.1654210387342,-0.0401870623192728,-1.48515216450004,1.48569565861481
386,760,354.295757832009,777.020638276692,-31.7042421679911,17.0206382766918,35.9841784509888,-1.11712395926223,0.599749127493433,1.26791931086488
672,760,660.616969600984,794.0024376177,-11.3830303990162,34.0024376177003,35.8572049246804,-0.401101115870642,1.19809698526111,1.26344570266259
958,760,973.722828372953,784.045583466806,15.7228283729529,24.0455834668063,28.7297305296183,0.554019483576008,0.847276485478749,1.01232043265672
1244,760,1265.71387927486,786.434811033513,21.7138792748626,26.4348110335128,34.209527730456,0.765118517992448,0.931460393921392,1.20539339723514
1530,760,1583.93610359474,744.106499571253,53.9361035947377,-15.8935004287473,56.2290550059386,1.90036709175872,-0.560033296385569,1.98114042484667
1816,760,1819.96884128486,772.734586689379,3.9688412848559,12.7345866893787,13.3387180528594,0.139849611503747,0.448725120156103,0.470012497101934
100,980,96.3834250119207,969.34823661037,-3.61657498807926,-10.6517633896304,11.2489856410732,-0.127436854576132,-0.375333826022914,0.396377850740143
386,980,369.165024558659,1011.33213825277,-16.8349754413413,31.3321382527724,35.5685153696554,-0.593207121171901,1.10401340068767,1.25327440305411
672,980,646.485559691469,1037.19697247489,-25.514440308531,57.1969724748922,62.6297080030808,-0.89903144770362,2.0152364703713,2.20660425433155
958,980,960.503679335573,1004.22013458145,2.50367933557311,24.2201345814543,24.349195661441,0.0882218919669983,0.85342678772567,0.857974247077544
1244,980,1275.52038431574,1062.28589004692,31.5203843157442,82.2858900469164,88.1164135006948,1.11064598982826,2.89888148931819,3.1041901069194
1530,980,1529.38516462131,980.853790246515,-0.614835378687758,0.853790246515359,1.05213132637085,-0.0216648952027609,0.0300849246033537,0.0370738496706186
1816,980,1816.43529570532,973.638800752211,0.435295705324734,-6.36119924778927,6.37607545604261,0.0153384730628906,-0.224148683887858,0.224672873405573
