target_x,target_y,gaze_x,gaze_y,error_px_x,error_px_y,error_px_xy,error_deg_x,error_deg_y,error_deg_z,error_deg_xyz
-0.2,0.05,-0.197888460940945,0.0527092186298727,0.0021115390590549,0.00270921862987268,0.00343488904949834,-0.157802522137306,0.117979701694188,-0.225338084633823,0.299329754913092
-0.2,0.065,-0.200050505980271,0.0663376540651228,-5.05059802711483e-05,0.00133765406512279,0.00133860720601029,-0.0698856398700964,0.0639703094026872,-0.158408211171262,0.184578964070632
-0.2,0.08,-0.201642516299239,0.0800496058974324,-0.00164251629923878,4.96058974324004e-05,0.00164326520632707,0.0122993416228341,0.0184865507467997,-0.105736066148101,0.108042332006205
-0.2,0.095,-0.202703655931569,0.0938594180070346,-0.00270365593156893,-0.00114058199296542,0.00293439647610626,0.0877425644563126,-0.0193114977655385,-0.0665912311274598,0.111830620122993
-0.2,0.11,-0.20328071726412,0.107781449600402,-0.00328071726412024,-0.00221855039959834,0.00396043831446149,0.155462146344004,-0.0502634352764838,-0.0399301748772561,0.168194325265775
-0.2,0.125,-0.203427844595263,0.121829754075969,-0.00342784459526274,-0.00317024592403123,0.00466910888586983,0.214529707434933,-0.0751725216575386,-0.0244024630311875,0.228625136284107
-0.2,0.14,-0.203206012361174,0.136017731752792,-0.00320601236117406,-0.00398226824720815,0.00511243343748583,0.264096207609552,-0.0947691169819175,-0.01836903042644,0.281186010275646
-0.2,0.155,-0.202682256726158,0.15035777045582,-0.00268225672615788,-0.00464222954418023,0.0053614173765786,0.303416857156147,-0.109675651550423,-0.0199327164604235,0.323246234440464
-0.2,0.17,-0.201928674125672,0.164860890593897,-0.00192867412567208,-0.00513910940610299,0.00548910096199124,0.331873804013267,-0.120375290501737,-0.0269804759935915,0.354060414837068
-0.2,0.185,-0.201021215773813,0.17953641293261,-0.001021215773813,-0.00546358706739029,0.00555820702202059,0.348995338943763,-0.12718635947504,-0.0372358584984374,0.373311021547397
-0.2,0.2,-0.200038321637479,0.194391667379894,-3.83216374789386e-05,-0.00560833262010596,0.00560846354411292,0.354470508079591,-0.13024430845337,-0.0483195773779362,0.380720679598188
-0.2,0.215,-0.199059449349508,0.209431759672127,0.000940550650492495,-0.00556824032787284,0.00564711748373374,0.348158271143063,-0.129492524608545,-0.0578153542141711,0.375932996536929
-0.2,0.23,-0.198163561623589,0.224659409821982,0.0018364383764106,-0.00534059017801783,0.00564751355552991,0.330090674475637,-0.124682702138228,-0.0633377921997005,0.358493688622539
