target_x,target_y,pupil_x,pupil_y,ellipse_min_axis,ellipse_max_axis,ellipse_angle,glint_1_x,glint_1_y,glint_2_x,glint_2_y,glint_3_x,glint_3_y,glint_4_x,glint_4_y
100.0,100.0,877.1299993341619,550.0731608072916,98.01535866477273,121.97472289114286,130.33822794596355,776.5650702582466,558.9487477312183,876.6689940173217,553.3378024631077,871.1409912109375,599.1978574810606,-1.0,-1.0
386.0,100.0,848.9533364652383,544.8501882842093,102.38960474187678,120.41043668804748,120.71426762898763,772.2988977913905,553.8815085671165,863.1194846413352,551.1035791262232,858.0021374635022,595.9964877041904,778.666611180161,597.2076342033617
672.0,100.0,813.3871459960938,540.91162109375,107.55175465285176,121.5911654848041,109.06540847778321,752.2591158163668,550.3684199169429,840.3935836637863,548.7587711835147,835.1697159584122,594.8281749378551,756.4425985933555,597.049222695707
958.0,100.0,781.6741998845881,542.9610762162642,106.59399028739544,118.08460366605509,92.61298014322917,737.0623131954309,552.7373737373738,826.0247408163668,550.4924458205098,820.4164841777147,597.2435795947758,743.952232900292,596.2415413904672
1244.0,100.0,743.9131284771544,546.0546924321338,100.89734665071121,116.06912824842665,76.24183044433593,713.3924443408696,556.7742062963621,802.0943954930161,553.710718636561,796.4970579821654,601.8798544527305,720.6176276929451,599.920839251894
1530.0,100.0,713.919214730311,548.2636250197285,96.57640707613243,110.74102158979936,59.694724019368486,697.6606278852983,556.6832731613005,789.4715169270834,554.2541947798295,782.6051641907355,600.3063527116872,704.4703436957466,599.0768740875552
1816.0,100.0,683.5358381175032,557.1779618696734,93.31358337402344,112.02725134955512,47.91547576904297,682.0770578095407,562.2494001292218,788.3817144837043,561.6656167386759,-1.0,-1.0,688.1818181818181,605.1835992986506
100.0,320.0,875.8663194444445,564.8306070963541,100.57166359641336,117.3662144054066,134.57459655761718,776.4885728624132,563.9916122898911,876.6038818359375,559.0981772066367,872.002617113518,605.5,787.010101010101,605.0020295730745
386.0,320.0,840.2132512872869,563.9546792386758,105.6815308079575,121.24079810248482,125.30728393554688,763.5968073064631,563.7623679421165,852.7849885574495,561.0476888020834,848.0635801373106,608.0188025272254,768.0019648388179,609.09511681759
672.0,320.0,806.5105146928267,562.1431403882575,108.84951689749053,119.91774595626677,107.2516434733073,745.5086787060054,561.726067437066,834.0342493538905,559.8938185566603,828.0790824504813,606.5765165078519,752.3472444168245,605.9270938141177
958.0,320.0,778.2616577148438,564.0463552763968,109.44091827700838,118.31471868958137,92.19379938761394,730.781952829072,563.474883108428,820.1569010416666,561.6408981169113,813.9127752130681,607.3206515842014,738.4552612304688,606.7452651515151
1244.0,320.0,746.3431532118055,566.8415484187578,112.49304584541706,120.14773220486111,70.86865320841471,715.7855834960938,565.570707070707,806.0584513346354,562.9132080078126,799.1111111111111,609.7716286399148,723.0142304391572,609.018951724274
1530.0,320.0,712.984062426018,568.8091671105587,100.30621869636303,110.45138187601108,59.05225883483887,696.3944985746133,566.2540714764835,787.0659617414378,563.7709461558949,781.6505126953125,611.3576438210227,702.8098699396306,610.8083841343118
1816.0,320.0,684.4042413884944,573.868052472972,94.43055940878513,108.00871007129399,45.54904006958008,681.5842821525805,569.803900208136,781.0450827858665,567.8666646938132,772.4896301886048,616.5240589488636,687.8053225122317,613.8013823538115
100.0,540.0,873.7624178799716,584.1221991644966,114.62230582189079,130.84471685236153,145.93216044108073,776.6541020557133,571.5538058810764,874.9083640358665,568.5314602322048,870.0015936957466,615.9991455078125,783.1693614612926,617.375
386.0,540.0,842.2780262340199,579.602089621804,116.4669849126026,127.48275803074694,134.7715653483073,765.7226124773122,567.0954349402225,854.8633441347065,565.5742230656172,849.5024543531014,613.2636108398438,772.0013224283854,612.5038396661931
672.0,540.0,813.3830467763573,580.3807687470407,117.50590823395083,124.32329728868272,123.92666585286459,752.9874976572364,568.0095547762784,842.0016072591146,566.5251662129103,835.9405357283775,614.1709816672585,760.474488537721,612.5152100842408
958.0,540.0,773.511702720565,580.1581827799479,123.85359161068695,128.641046543314,100.40778376261393,726.1807972301136,569.9709941208964,815.9815149788905,567.9730341747554,809.527108857126,614.5320557873658,733.6182929144966,614.0882611515547
1244.0,540.0,746.3670087101484,581.6332397460938,119.51017090768525,125.18549393162583,78.3557048034668,714.993529040404,569.0804221413352,805.9021242700442,566.2863011215672,798.511171283144,614.0656565656566,722.0378054223879,613.6818181818181
1530.0,540.0,712.2171082159485,588.1388290867661,112.6163602886778,120.10636732313368,48.31824801127116,694.9325456715593,575.5030332623106,785.5075554125236,572.4563099254261,779.3653508966619,620.04345703125,701.5016553474195,619.9998193605982
1816.0,540.0,681.9245586973248,596.0609186345881,103.17397416240037,112.43777851143268,36.72901749928792,677.9838207514599,581.0210959694602,775.6715451635496,578.8463948567709,766.4714898003472,625.386536261048,684.6282767864188,625.8891595397332
100.0,760.0,870.6600230823864,603.4068270596591,117.42155418010672,129.44884344544073,157.4893598429362,775.9524258700284,578.9376270024463,872.8581746419271,577.3452555338541,867.7746853298611,624.9620725072996,784.6902028093434,625.9155125473485
386.0,760.0,836.6936978426846,600.8146023220486,113.00453255393289,119.12348622023458,140.69351013183595,759.7593038539694,579.3504231770834,848.9620410649463,577.4755797723327,843.7843116220802,625.8470391167534,767.0356617937184,624.0058569089331
672.0,760.0,809.8835430723248,596.1182411270912,125.0333295109296,128.21876001839686,128.0343374633789,747.8377500591856,574.0092095269097,836.9518580581203,572.269638523911,831.2231562450679,620.0921563042534,755.4976664841777,619.00026017006
