target_x,target_y,gaze_x,gaze_y,error_px_x,error_px_y,error_px_xy,error_deg_x,error_deg_y,error_deg_z,error_deg_xyz
-0.2,0.05,-0.200743297917115,0.0504733220136191,-0.000743297917114999,0.000473322013619104,0.000881206855490775,0.066422248428621,0.0111500579037138,0.0479196029906514,0.0826591096724843
-0.2,0.065,-0.200437162750716,0.0657929374579884,-0.000437162750715703,0.000792937457988363,0.000905461806424968,0.0458699833667921,0.0476071008976715,0.126793161458821,0.142993034224926
-0.2,0.08,-0.200467325525899,0.0808282199647052,-0.000467325525898871,0.000828219964705168,0.000950968694065628,0.117275734784516,0.0777652259280363,0.162978635648848,0.215320966408043
-0.2,0.095,-0.200655053742582,0.095657155333602,-0.000655053742581846,0.000657155333602007,0.000927873126107254,0.157536964250234,0.0893032190186496,0.17076994689387,0.248908481639414
-0.2,0.11,-0.200867416704414,0.110351778098328,-0.000867416704414217,0.000351778098328412,0.000936033957482513,0.175315863514185,0.0894979882311212,0.161055065776436,0.254331245265939
-0.2,0.125,-0.201014474940333,0.124976818358881,-0.00101447494033322,-2.31816411185304e-05,0.00101473976617112,0.178089255679491,0.0835317210066202,0.141696030388773,0.242427688414443
-0.2,0.14,-0.201045162344494,0.139588508110093,-0.00104516234449364,-0.000411491889906579,0.00112324970590085,0.17209950405658,0.074991998159663,0.117967887461896,0.221717213813875
-0.2,0.155,-0.200941969993776,0.154233692715614,-0.000941969993776458,-0.0007663072843863,0.00121430404894274,0.162352555347629,0.0662815175764953,0.0930259238547256,0.198508069674684
-0.2,0.17,-0.20071472991896,0.168949301210445,-0.000714729918959732,-0.00105069878955477,0.00127075048826591,0.152650797664859,0.0589465187092285,0.0683755767412498,0.177347688737049
-0.2,0.185,-0.200393872479804,0.183762133325861,-0.000393872479804415,-0.00123786667413851,0.0012990186423951,0.14564521646013,0.0539284953997438,0.0443263945766033,0.16151055142625
-0.2,0.2,-0.200023486617462,0.198688849817213,-2.3486617462029e-05,-0.00131115018278682,0.00131136052366301,0.142889918369538,0.0517416473221797,0.0204205523269105,0.153335383486138
-0.2,0.215,-0.199654384134145,0.213736027804917,0.000345615865854687,-0.00126397219508286,0.00131037248012658,0.144883673484034,0.052577705605753,0.00416369499519049,0.15418509873092
-0.2,0.23,-0.199337222617914,0.228900171027538,0.000662777382086248,-0.00109982897246198,0.00128409408801376,0.151087853163169,0.056339411868446,0.0302248700314014,0.164058617143601
-0.2,0.245,-0.199115644268875,0.244167634125719,0.000884355731125365,-0.000832365874280899,0.00121446202404261,0.159917178131417,0.0626035877488748,0.0581539636335184,0.181313606719443
-0.2,0.26,-0.199019381570515,0.25951450375222,0.000980618429485491,-0.000485496247780007,0.0010942207779306,0.168707504845947,0.0705143445613382,0.0875396723092912,0.202725755846002
-0.2,0.275,-0.199057364156183,0.274906545656159,0.000942635843817097,-9.34543438411012e-05,0.000947257118438041,0.173671695316995,0.078606639672914,0.116754890811649,0.223545587021804
-0.2,0.29,-0.199210991202288,0.29029935082885,0.000789008797711696,0.000299350828850478,0.000843887315700339,0.169858989286325,0.0845600342100759,0.142524603765322,0.237309542185667
-0.2,0.305,-0.1994278444357,0.305638785442083,0.00057215556430032,0.00063878544208279,0.000857559811778002,0.15113447385235,0.0848817061862478,0.159484974186495,0.235546318936063
-0.2,0.32,-0.19961614752554,0.320861776776757,0.000383852474460239,0.000861776776757181,0.000943399138809891,0.110193511839126,0.0745157343875493,0.159752111062106,0.207884557194617
-0.2,0.335,-0.199640195967972,0.335897372711146,0.000359804032027594,0.000897372711146385,0.000966817834017106,0.0386225727169381,0.0463714578659458,0.132525393494386,0.145619389381589
-0.2,0.35,-0.199316794426561,0.350667922427176,0.000683205573438539,0.000667922427175963,0.000955452889629893,0.0729851960175644,0.00924330283933425,0.0637545806837048,0.0973495060221732
-0.18,0.05,-0.179338297739911,0.051450287450389,0.000661702260089353,0.00145028745038903,0.00159410902066429,0.0438256135407069,0.00587706699978435,0.0744005093584935,0.0865486079276576
-0.18,0.065,-0.179550916339497,0.0664549967477741,0.000449083660503113,0.00145499674777411,0.00152272508029654,0.0297480660536583,0.0415115714717082,0.130208580073089,0.139865800106086
-0.18,0.08,-0.179979023849763,0.0812340798999408,2.09761502367178e-05,0.00123407989994082,0.00123425815707926,0.0684128193942529,0.0546683335504123,0.149230730951718,0.173028247295284
-0.18,0.095,-0.180456708320262,0.0958582597562018,-0.000456708320262456,0.000858259756201823,0.000972210007617987,0.0814211551903408,0.0541434013706626,0.145531823398938,0.17532954124724
-0.18,0.11,-0.180864583737383,0.110392636426882,-0.000864583737382948,0.000392636426881643,0.000949562216319421,0.0769310969577468,0.0461469968308668,0.129557436342174,0.157585164154355
-0.18,0.125,-0.181126869060663,0.124895320854968,-0.00112686906066313,-0.000104679145031636,0.00113172063835752,0.0619183407081427,0.0349128445492614,0.108566890814075,0.129767348010341
-0.18,0.14,-0.181206944506954,0.139416332138145,-0.00120694450695398,-0.000583667861854598,0.0013406652139249,0.0421454221095595,0.0232059889363236,0.0871234864220546,0.0995251671846684
-0.18,0.155,-0.181101622084008,0.153996892667838,-0.00110162208400778,-0.00100310733216248,0.00148989782730621,0.022180389372835,0.0127424878085371,0.0676081322590455,0.0722855511796894
-0.18,0.17,-0.180834569120863,0.168669146060917,-0.000834569120862633,-0.00133085393908292,0.00157088440843683,0.00545223099443371,0.00452714453413047,0.0507264758175894,0.0512191115073045
