target_x,target_y,gaze_x,gaze_y,error_px_x,error_px_y,error_px_xy,error_deg_x,error_deg_y,error_deg_xy
100,100,99.4695200255414,131.154727560884,-0.530479974458643,31.1547275608835,31.1592435465975,-0.0186924719806072,1.0977625740588,1.09792168881034
386,100,356.265271512865,108.514022200316,-29.734728487135,8.51402220031571,30.9296403508205,-1.04773058816802,0.300007100896904,1.08983192016887
672,100,626.397070275914,45.6989811346568,-45.6029297240863,-54.3010188653432,70.9099982318031,-1.60680075922395,-1.91322201623138,2.49825294716098
958,100,955.941009287251,38.628576996687,-2.05899071274882,-61.371423003313,61.405952514449,-0.0725524492121439,-2.16228229682128,2.1634985764927
1244,100,1239.48979500869,68.3240006277396,-4.51020499131073,-31.6759993722604,31.9954822638304,-0.158925560210163,-1.11612886506264,1.12738537440378
1530,100,1557.4653337085,110.570642840224,27.4653337085001,10.5706428402236,29.4292889104518,0.96777032894826,0.372475419411607,1.03696873350965
1816,100,1806.03584980656,145.713608002116,-9.96415019343681,45.7136080021164,46.7869452480981,-0.351104709083737,1.61069995051993,1.64851338380128
100,320,77.159858233848,321.803425199316,-22.840141766152,1.80342519931634,22.9112290885376,-0.804802659153984,0.0635471148276452,0.80730743239819
386,320,357.781045971445,304.392438937324,-28.2189540285547,-15.6075610626755,32.2475631450011,-0.994323629682183,-0.549957914628105,1.13626705779197
672,320,670.996462771408,252.738213983693,-1.00353722859234,-67.2617860163075,67.269271923165,-0.0353615442638462,-2.36975924523667,2.37002291261507
958,320,952.525200115899,247.489795494416,-5.47479988410089,-72.5102045055842,72.7165950193805,-0.192914817876836,-2.55461185754528,2.56188079629158
1244,320,1247.80661273674,282.44573080349,3.80661273674491,-37.5542691965099,37.7467009871258,0.134133187833808,-1.32323737555331,1.33001716740392
1530,320,1568.21680245551,312.089987398832,38.2168024555067,-7.91001260116798,39.026815002942,1.34657982859352,-0.278723808171196,1.37511813797817
1816,320,1819.73161661747,335.330784843093,3.73161661746894,15.3307848430934,15.7784006314009,0.131490560298394,0.540205398113129,0.555977632000576
100,540,96.2357699905212,550.617171460314,-3.76423000947882,10.6171714603136,11.2647129294074,-0.132639753748427,0.374114926550913,0.396932025055617
386,540,359.749862210409,500.507206272297,-26.2501377895907,-39.4927937277029,47.4209920856933,-0.924953507431311,-1.39153539303381,1.67085054519857
672,540,628.354318139794,493.78375440103,-43.6456818602061,-46.2162455989701,63.567970726669,-1.53784638903176,-1.62840780582806,2.23965328595266
958,540,966.623457498209,508.25164666538,8.62345749820884,-31.7483533346197,32.8986619588589,0.303863235254723,-1.11867815230128,1.15920746288061
1244,540,1285.68021726018,499.681345324735,41.6802172601788,-40.318654675265,57.9899510749834,1.46860142028869,-1.42063179486591,2.04316982023617
1530,540,1554.89764182736,518.210330304571,24.8976418273573,-21.7896696954289,33.0859830441724,0.877298684266255,-0.767789018322612,1.16580739876338
1816,540,1836.28508046775,545.881877362598,20.2850804677485,5.88187736259783,21.1206290363633,0.714774171048613,0.207258924318816,0.744215122750341
100,760,96.0944704681472,762.286028670051,-3.90552953185284,2.28602867005088,4.52538263624958,-0.137618704585785,0.0805525604353012,0.159460372401744
386,760,358.469734980894,749.783956868929,-27.5302650191058,-10.2160431310713,29.3646561239547,-0.970058143761344,-0.35998055099615,1.03469146027546
672,760,642.480526669757,742.188972772469,-29.5194733302428,-17.811027227531,34.4765427007229,-1.04014629226838,-0.627599188517338,1.21480112902459
958,760,960.385159820107,732.230181165821,2.38515982010665,-27.7698188341789,27.8720617366309,0.0840456334909196,-0.978498668467449,0.98210112819333
1244,760,1269.09115990865,727.82671672756,25.0911599086494,-32.1732832724396,40.8005693843855,0.884117259613165,-1.13364992177313,1.43761033630975
1530,760,1537.77279361431,711.768893134124,7.7727936143142,-48.2311068658759,48.8534132899459,0.273888663961915,-1.69939030949247,1.72131357672535
1816,760,1822.34178960274,766.20956736111,6.34178960274471,6.2095673611102,8.87564207128961,0.223464750689866,0.218805665552918,0.312749374618953
100,980,108.786941730202,990.173988825644,8.78694173020172,10.1739888256441,13.443228540581,0.309623872229281,0.358498702019844,0.473695060726043
386,980,364.503986266846,976.31074272891,-21.496013733154,-3.68925727109013,21.810300906412,-0.75744194954584,-0.129997950002658,0.768515965664966
672,980,660.426295435752,989.597172420796,-11.5737045642485,9.59717242079648,15.0351706280641,-0.407819799498883,0.338173665371974,0.529789095333907
958,980,944.162223335826,975.149710396443,-13.8377766641742,-4.85028960355737,14.6631978860663,-0.48759747063012,-0.170909064348508,0.516682200670876
1244,980,1238.33825425032,967.209863904878,-5.66174574968409,-12.7901360951224,13.9872422680748,-0.199502192155928,-0.450682479110232,0.492864079434952
1530,980,1543.92196497364,949.924231013445,13.9219649736367,-30.075768986555,33.1417107111234,0.4905639520037,-1.05974678349527,1.1677708656571
1816,980,1811.94512079311,976.538580718779,-4.05487920688938,-3.4614192812212,5.33136650614772,-0.142881316923179,-0.121969654242053,0.187860683602353
