target_x,target_y,gaze_x,gaze_y,error_px_x,error_px_y,error_px_xy,error_deg_x,error_deg_y,error_deg_xy
100,100,105.204914960684,104.771860225437,5.20491496068382,4.77186022543663,7.06128810905308,0.183404934277096,0.16814546189814,0.24881754300691
386,100,350.184155314547,122.065513257264,-35.8158446854533,22.0655132572642,42.0673460755372,-1.26198847282492,0.777508449645921,1.48224038004219
672,100,687.586577904499,94.3550530885111,15.5865779044993,-5.64494691148889,16.5772988272081,0.549218550096712,-0.198910254889268,0.584127634567454
958,100,957.016511891556,97.3074225317326,-0.983488108443566,-2.69257746826736,2.8665697762432,-0.0346550753997883,-0.0948780731598061,0.10100901900199
1244,100,1227.11887991871,92.9313509007735,-16.8811200812868,-7.06864909922655,18.3013118460623,-0.594833071745203,-0.249076920289774,0.644874768150033
1530,100,1533.59252134031,98.4278672125577,3.59252134031431,-1.57213278744229,3.92145522503633,0.126589279530644,-0.0553970884205351,0.138179875901333
1816,100,1812.04298040161,97.9236505808609,-3.95701959838834,-2.07634941913909,4.46869455348972,-0.139433052486423,-0.0731641160424656,0.157462863668661
100,320,102.890635693941,315.166667916375,2.89063569394057,-4.8333320836249,5.63177358792779,0.101857026778764,-0.170311535164318,0.198446069141673
386,320,353.2077590749,294.769727552513,-32.7922409250996,-25.2302724474871,41.3750856514425,-1.15545789757952,-0.889018861434795,1.45785127995864
672,320,649.982490957814,303.176384162565,-22.017509042186,-16.8236158374348,27.7092900354435,-0.77581700741005,-0.592806854614445,0.976365976146442
958,320,960.215142675218,303.383783419942,2.21514267521843,-16.6162165800584,16.7632189780777,0.0780547586084493,-0.585498939987441,0.590678713005645
1244,320,1266.53639259849,339.886627476026,22.5363925984864,19.8866274760259,30.0560633437471,0.794099999715261,0.70073445667461,1.05905247698935
1530,320,1574.84241636412,304.907999000373,44.8424163641243,-15.0920009996269,47.3139598802111,1.58000780390168,-0.531791578738552,1.66707986157125
1816,320,1841.18720403033,288.605237052118,25.1872040303256,-31.3947629478824,40.2495513940091,0.887501354921533,-1.10621989585228,1.4181971827339
100,540,87.213593014988,543.722752040997,-12.786406985012,3.72275204099662,13.3173227919544,-0.45055107884571,0.131178200474993,0.469258607001598
386,540,408.509229669368,530.988487496238,22.5092296693679,-9.01151250376165,24.2460878888493,0.79314290808674,-0.31753699184783,0.854341251159296
672,540,669.779775383869,588.534367351373,-2.22022461613108,48.5343673513728,48.5851233562711,-0.078233830391282,1.71007390545253,1.71186199125847
958,540,964.294058678399,521.436501975036,6.29405867839944,-18.5634980249639,19.6014956972669,0.221782867019764,-0.654113100677106,0.690687665782809
1244,540,1253.03389922268,508.104590402079,9.03389922267843,-31.8954095979214,33.1500903254378,0.318325824449902,-1.12385946367768,1.16806610665471
1530,540,1565.28303585054,535.344473488546,35.283035850543,-4.65552651145401,35.588854237381,1.24321618211348,-0.164046230552636,1.25399099602036
1816,540,1821.50841136628,558.369188053763,5.50841136628333,18.3691880537625,19.1773216465358,0.194099179083922,0.647266439565176,0.675741616636481
100,760,120.152840109436,817.758744607178,20.1528401094361,57.7587446071777,61.173601684662,0.71011461030174,2.03502539946031,2.15531415958007
386,760,381.183056781552,779.094178906671,-4.81694321844759,19.0941789066712,19.6923998052476,-0.169734043560155,0.672812025295536,0.693890728236704
672,760,631.510352506899,791.400423311713,-40.4896474931007,31.4004233117125,51.2386391141519,-1.42665612250863,1.10641933096121,1.80534164726869
958,760,954.301822648347,770.694794165601,-3.69817735165282,10.6947941656008,11.316145013601,-0.130312265623197,0.376850081029333,0.398744310645149
1244,760,1294.62152575832,763.77700974887,50.6215257583181,3.77700974886955,50.7622366798698,1.78360181507199,0.133090071598211,1.78855882791669
1530,760,1557.71838664915,762.13128639777,27.7183866491491,2.1312863977704,27.8002039586232,0.976686489376817,0.0750999242963492,0.979569268040979
1816,760,1814.63441190269,738.08592545787,-1.36558809731105,-21.9140745421302,21.9565820174624,-0.0481190944071699,-0.772172462095309,0.773670225796791
100,980,108.044516099814,971.115407574747,8.04451609981356,-8.88459242525346,11.9854170491907,0.283463266575318,-0.313064755034334,0.422327082609973
386,980,387.268759482802,983.573112453805,1.26875948280167,3.57311245380492,3.79168606727073,0.0447071543344467,0.125905371282307,0.133607218926361
672,980,637.428930387381,970.237281705277,-34.5710696126191,-9.7627182947225,35.9231056934484,-1.21813158943607,-0.344006937821079,1.26576755895356
958,980,952.20372437211,1001.80263969158,-5.79627562788971,21.802639691578,22.5599625149343,-0.204242593900839,0.768246020307978,0.794930490682573
1244,980,1301.18379653277,1028.95693048538,57.1837965327663,48.956930485381,75.2779358673659,2.01477233450102,1.72496037751427,2.65208780939613
1530,980,1549.32805728578,989.989887500026,19.3280572857773,9.98988750002559,21.7571057520401,0.6810528877916,0.352011603559643,0.766641617197382
1816,980,1814.47128921455,963.550577325851,-1.52871078544695,-16.4494226741492,16.5203045667553,-0.053867031835142,-0.579621790969172,0.582119385265056
