target_x,target_y,gaze_x,gaze_y,error_px_x,error_px_y,error_px_xy,error_deg_x,error_deg_y,error_deg_z,error_deg_xyz
-0.2,0.05,-0.184357332900896,0.0350479814391149,0.0156426670991036,-0.0149520185608851,0.0216392211740263,-1.45220193818584,0.0933670770066422,1.4460013144646,2.05157923719022
-0.2,0.065,-0.188862158064966,0.0523930116335045,0.0111378419350338,-0.0126069883664955,0.0168222376229428,-1.08428486932176,0.0271709878026379,1.37642416702434,1.75248248374976
-0.2,0.08,-0.192662052269465,0.0696618338341295,0.00733794773053462,-0.0103381661658705,0.0126776636873364,-0.740153049550656,-0.0334371840054386,1.29062632270661,1.48821550973971
-0.2,0.095,-0.195781485675592,0.0868421330920177,0.00421851432440798,-0.00815786690798226,0.00918404353177767,-0.422768004223547,-0.0886913348811524,1.19057887829714,1.2665474032317
-0.2,0.11,-0.198253209978547,0.103921845246894,0.00174679002145296,-0.00607815475310598,0.00632417904409358,-0.134930970847372,-0.138714991366759,1.07860551848788,1.09584428053797
-0.2,0.125,-0.200118310092393,0.120889406819347,-0.000118310092392687,-0.00411059318065261,0.00411229541433853,0.120780083517477,-0.183498755063144,0.957344035501247,0.982237676157911
-0.2,0.14,-0.201426008594425,0.137734010563116,-0.00142600859442452,-0.00226598943688355,0.00267735104897367,0.342070110174486,-0.222882915257568,0.829694493859672,0.924716317814596
-0.2,0.155,-0.202233207098754,0.154445855760391,-0.00223320709875387,-0.00055414423960852,0.00230093237280369,0.52698053216749,-0.256546710680087,0.698755717412223,0.912031694678434
-0.2,0.17,-0.202603763402191,0.171016381619957,-0.00260376340219149,0.00101638161995715,0.00279510562447621,0.673934151452917,-0.284005348204555,0.567752613313673,0.925855259176048
-0.2,0.185,-0.202607518856574,0.18743847215843,-0.00260751885657396,0.00243847215843027,0.00357005616970214,0.781769269775115,-0.304615387028288,0.43995753107555,0.947384189979764
-0.2,0.2,-0.202319106965024,0.203706622017822,-0.00231910696502435,0.00370662201782189,0.00437233391888434,0.849761469794847,-0.317588518181952,0.318609307100005,0.961504346707699
-0.2,0.215,-0.201816588842234,0.21981705457062,-0.00181658884223352,0.00481705457061991,0.00514820451789334,0.877632212490514,-0.322013169238448,0.206833822284557,0.957461406393952
-0.2,0.23,-0.201179973077997,0.235767786387007,-0.00117997307799712,0.00576778638700703,0.00588724861636924,0.865544172479732,-0.316882804456027,0.10756976457448,0.927993268365027
-0.2,0.245,-0.200489685108803,0.251558635360837,-0.000489685108803123,0.00655863536083685,0.00657689054965969,0.81408398452026,-0.301129331355917,0.0235028843029477,0.86831931013131
-0.2,0.26,-0.199825053673498,0.267191173228141,0.000174946326501779,0.007191173228141,0.00719330095396323,0.72423373632248,-0.273659706276407,-0.042988621151596,0.775410432058276
-0.2,0.275,-0.199262879133827,0.282668626517528,0.000737120866173377,0.00766862651752785,0.0077039716923597,0.597333075679386,-0.233393686772031,-0.0898757651130919,0.647581295076767
-0.2,0.29,-0.198876140804494,0.297995732830156,0.0011238591955063,0.00799573283015613,0.00807432987823514,0.435034145935565,-0.179300702557133,-0.115506524588685,0.484506559438866
-0.2,0.305,-0.198732888953745,0.313178561471949,0.0012671110462546,0.00817856147194919,0.00827613666839741,0.239251733900659,-0.110434002974224,-0.118619616249366,0.288977250953727
-0.2,0.32,-0.198895353176528,0.328224308810994,0.00110464682347233,0.00822430881099441,0.00829816244859112,0.0121109965204769,-0.025960547261839,-0.0983450069685892,0.102432267575958
-0.2,0.335,-0.199419283938543,0.343141079094197,0.000580716061456571,0.008141079094197,0.00816176451277572,-0.244105031133669,0.0748145022574875,-0.0541925088362442,0.261000808018393
-0.2,0.35,-0.200353529634395,0.357937661103319,-0.000353529634395333,0.00793766110331917,0.00794553000079553,-0.527006234462481,0.192429394482918,0.0139697231995185,0.561215033997641
-0.18,0.05,-0.168536333200378,0.0356489553469547,0.0114636667996218,-0.0143510446530453,0.0183675839218568,-1.06870275653154,-0.00408941681714682,1.20704070784136,1.61222240234677
-0.18,0.065,-0.172953614664937,0.0530882112879678,0.00704638533506297,-0.0119117887120322,0.0138398792122724,-0.699927377963918,-0.0652817017286802,1.131074039276,1.33175386797534
-0.18,0.08,-0.176650222773953,0.0704342089820105,0.00334977722604687,-0.00956579101798951,0.0101353522515989,-0.355343989165758,-0.121615425089744,1.03804484614489,1.10391777890213
-0.18,0.095,-0.179650675418813,0.0876733732770678,0.000349324581186528,-0.0073266267229322,0.00733494967945966,-0.0380296352391937,-0.17347592207669,0.930052493384485,0.946867569236886
-0.18,0.11,-0.181988045879987,0.10479250724086,-0.00198804587998679,-0.00520749275914002,0.00557407456511196,0.24910150554246,-0.221123380728145,0.809586008688165,0.875437904605569
-0.18,0.125,-0.183704030930943,0.121779077574082,-0.0037040309309431,-0.0032209224259182,0.00490858293310462,0.503366055166984,-0.264664031879015,0.679482454571534,0.886079279404591
-0.18,0.14,-0.184848760774016,0.138621503720827,-0.00484876077401605,-0.0013784962791728,0.00504090597366485,0.722376049659453,-0.304027123060636,0.542869895127181,0.953408803162905
-0.18,0.155,-0.185480333479796,0.155309437897566,-0.00548033347979611,0.000309437897566253,0.00548906247570788,0.904097133059706,-0.338949579445006,0.403096812085783,1.04632495365236
-0.18,0.17,-0.185664071969386,0.171834022555334,-0.00566407196938625,0.00183402255533398,0.00595359975207108,1.04689744273972,-0.368969823046686,0.263650828711972,1.14091531526099
-0.18,0.185,-0.185471518349904,0.188188112040341,-0.00547151834990355,0.00318811204034131,0.00633258015623178,1.14958474837254,-0.393431624176801,0.128070434027197,1.22179873137189
