target_x,target_y,pupil_x,pupil_y
-0.2,0.05,53.8469437587516,-36.965029460167
-0.2,0.065,54.1450772756696,-33.8977176712686
-0.2,0.08,54.4217772131831,-30.777288331505
-0.2,0.095,54.6758154560809,-27.6080673922438
-0.2,0.11,54.9060503620512,-24.3947868673713
-0.2,0.125,55.1114423383604,-21.1425571366337
-0.2,0.14,55.2910685314283,-17.856831913591
-0.2,0.155,55.4441362400261,-14.5433662723687
-0.2,0.17,55.5699946680215,-11.2081683681413
-0.2,0.185,55.6681446738044,-7.85744572158537
-0.2,0.2,55.7382462232675,-4.49754714441237
-0.2,0.215,55.7801233196018,-1.13490155243538
-0.2,0.23,55.793766259941,2.22404495817982
-0.2,0.245,55.7793311544325,5.57289233126544
-0.2,0.26,55.7371367314857,8.90534861638401
-0.2,0.275,55.6676585395091,12.2152894764044
-0.2,0.29,55.5715207363939,15.4968138424966
-0.2,0.305,55.4494857279382,18.7442945785546
-0.2,0.32,55.3024419749538,21.9524232091075
-0.2,0.335,55.131390328853,25.116247993942
-0.2,0.35,54.9374292804941,28.2312048691744
-0.18,0.05,57.4793713475241,-37.2729593212905
-0.18,0.065,57.8059487462392,-34.1802616686982
-0.18,0.08,58.1088295349777,-31.0329530873663
-0.18,0.095,58.3866293612025,-27.8354576553639
-0.18,0.11,58.6380606553718,-24.5926249381849
-0.18,0.125,58.8619505537325,-21.3097014214187
-0.18,0.14,59.0572578287512,-17.9922941105807
-0.18,0.155,59.2230883623411,-14.6463267000402
-0.18,0.17,59.3587087131469,-11.2779889810285
-0.18,0.185,59.4635573761761,-7.89368041636598
-0.18,0.2,59.5372533820605,-4.49994902922367
-0.18,0.215,59.5796019766217,-1.10342695213001
-0.18,0.23,59.5905971966966,2.28923589193524
-0.18,0.245,59.57042127103,5.67143842072949
-0.18,0.26,59.5194408735002,9.03669377420878
-0.18,0.275,59.4382003606864,12.3786919373351
-0.18,0.29,59.3274122206121,15.6913582141198
-0.18,0.305,59.1879450444241,18.9689063318755
-0.18,0.32,59.0208093959606,22.2058851747946
-0.18,0.335,58.8271420059876,25.3972183836418
-0.18,0.35,58.6081887448261,28.538236328168
-0.16,0.05,61.1335271576545,-37.5548881862108
-0.16,0.065,61.489106097329,-34.4390802581902
-0.16,0.08,61.8186861805956,-31.2672719515867
-0.16,0.095,62.120721251136,-28.0439775062996
-0.16,0.11,62.393772491677,-24.774155046166
-0.16,0.125,62.6365288190246,-21.463177219034
-0.16,0.14,62.8478261748369,-18.1167935210818
-0.16,0.155,63.0266651734324,-14.7410847165692
-0.16,0.17,63.1722265887447,-11.3424100590164
-0.16,0.185,63.2838842062239,-7.92734828775675
-0.16,0.2,63.3612146408113,-4.50263362815322
-0.16,0.215,63.4040038028501,-1.07508822321609
-0.16,0.23,63.4122498129518,2.34844742508988
-0.16,0.245,63.3861622735919,5.76118434305045
-0.16,0.26,63.3261579343002,9.15645363017597
-0.16,0.275,63.2328529052178,12.5277720488554
-0.16,0.29,63.1070516832842,15.8689031764394
-0.16,0.305,62.9497333576586,19.1739128217488
-0.16,0.32,62.7620354299873,22.4372176433583
-0.16,0.335,62.5452357483849,25.6536261751812
-0.16,0.35,62.3007330791417,28.8183717424537
-0.14,0.05,64.7975943248717,-37.8084059042423
-0.14,0.065,65.1824938738328,-34.6719402842847
-0.14,0.08,65.539070621474,-31.4782074150039
-0.14,0.095,65.8656129753684,-28.2318027934088
-0.14,0.11,66.160527379872,-24.9377828433829
-0.14,0.125,66.4223612689545,-21.6016348481215
-0.14,0.14,66.6498248040594,-18.2292381096736
-0.14,0.155,66.841810780507,-14.8268167607512
-0.14,0.17,66.9974121060035,-11.4008849565234
-0.14,0.185,67.1159363117622,-7.95818547926643
-0.14,0.2,67.1969166307644,-4.50562304518309
-0.14,0.215,67.2401192864057,-1.05019382980998
-0.14,0.23,67.2455467548312,2.40108711478922
-0.14,0.245,67.2134369003543,5.84125878540429
-0.14,0.26,67.1442580255846,9.26348572399097
-0.14,0.275,67.0387000155545,12.6611263699562
-0.14,0.29,66.8976618828938,16.0277967007679
-0.14,0.305,66.722236132517,19.3574277887152
-0.14,0.32,66.513690453021,22.6443161574293
-0.14,0.335,66.2734473028351,25.8831661067814
-0.14,0.35,66.0030619944215,29.0691234792966
-0.12,0.05,68.4590243526613,-38.0312494194001
-0.12,0.065,68.87329893993,-34.8767430085214
-0.12,0.08,69.2569241913716,-31.6638430755652
-0.12,0.095,69.6080216933852,-28.3972165973963
-0.12,0.11,69.9248417893425,-25.0820068453785
-0.12,0.125,70.2057891350273,-21.7238026981612
-0.12,0.14,70.4494469283132,-18.3285987680758
-0.12,0.155,70.6545991155927,-14.9027467671685
-0.12,0.17,70.8202499023569,-11.4528988750606
-0.12,0.185,70.9456399548645,-7.98594417689306
-0.12,0.2,71.0302587658369,-4.50893953111757
-0.12,0.215,71.0738527802293,-1.029036458077
-0.12,0.23,71.0764290106928,2.44659418643627
-0.12,0.245,71.0382540321361,5.91083789667261
-0.12,0.26,70.9598484012708,9.35671068714305
-0.12,0.275,70.8419767059547,12.7774299502213
-0.12,0.29,70.6856335958695,16.1664803442474
-0.12,0.305,70.4920262687216,19.5176732806711
-0.12,0.32,70.2625539884184,22.8251988374571
-0.12,0.335,69.9987852785029,26.0836692420942
-0.12,0.35,69.7024334740077,29.2881533795847
-0.1,0.05,72.1047081009496,-38.2213559630501
-0.1,0.065,72.5481266706924,-35.0515739605131
-0.1,0.08,72.9585871339114,-31.8224295929114
-0.1,0.095,73.3340453717167,-28.5386507587085
-0.1,0.11,73.6725966434618,-25.205455028645
-0.1,0.125,73.9725037372427,-21.8285184395605
-0.1,0.14,74.2322236838364,-18.4139347276444
-0.1,0.155,74.4504322627939,-14.9681654460165
-0.1,0.17,74.626045540728,-11.4979817405961
-0.1,0.185,74.7582377615735,-8.01039889921479
-0.1,0.2,74.8464549994449,-4.51260508563242
-0.1,0.215,74.8904241187588,-1.01188592006293
-0.1,0.23,74.890156742905,2.48445325169289
-0.1,0.245,74.8459481051054,5.96916545938097
-0.1,0.26,74.7583708349087,9.43513862118451
-0.1,0.275,74.6282639127863,12.8754685891869
-0.1,0.29,74.456717183803,16.283527001509
-0.1,0.305,74.2450519654049,19.6530224462798
-0.1,0.32,73.9947983931837,22.9780537260419
-0.1,0.335,73.7076702252057,26.253154334124
-0.1,0.35,73.385537867753,29.4733275931918
-0.08,0.05,75.7211766709459,-38.3769147951515
-0.08,0.065,76.1932085006152,-35.1947515164215
-0.08,0.08,76.6300123803034,-31.952429545832
