target_x,target_y,pupil_x,pupil_y
-0.2,0.05,-57.278675403889,-26.2392756725959
-0.2,0.065,-57.6909234059146,-24.2786102512429
-0.2,0.08,-58.0702212636175,-22.2830596271262
-0.2,0.095,-58.4147717906149,-20.2553588715909
-0.2,0.11,-58.7229106147815,-18.1985037409305
-0.2,0.125,-58.9931289053557,-16.1157335409929
-0.2,0.14,-59.2240947348051,-14.0105093646419
-0.2,0.155,-59.4146725049393,-11.8864879432652
-0.2,0.17,-59.5639398873155,-9.74749149271183
-0.2,0.185,-59.6712017876488,-7.59747409038103
-0.2,0.2,-59.7360009147118,-5.44048524456515
-0.2,0.215,-59.7581246330653,-3.28063142570542
-0.2,0.23,-59.7376078905357,-1.12203641025751
-0.2,0.245,-59.6747321341667,1.03119866750624
-0.2,0.26,-59.5700202569604,3.17503464965669
-0.2,0.275,-59.4242277407881,5.30553219938391
-0.2,0.29,-59.2383302788626,7.41888733374076
-0.2,0.305,-59.013508261574,9.51146393090317
-0.2,0.32,-58.7511285917,11.5798226011322
-0.2,0.335,-58.4527243556158,13.620745456881
-0.2,0.35,-58.1199729118817,15.6312564612567
-0.18,0.05,-55.3020808495438,-26.4662162347859
-0.18,0.065,-55.7101341413837,-24.4938786550105
-0.18,0.08,-56.0857153001091,-22.485705899272
-0.18,0.095,-56.4270105079919,-20.444484749635
-0.18,0.11,-56.7323383992473,-18.3732749869692
-0.18,0.125,-57.0001734610494,-16.2753918133168
-0.18,0.14,-57.229168067355,-14.1543833304693
-0.18,0.155,-57.4181725458407,-12.0140033197668
-0.18,0.17,-57.5662526997803,-9.85817972739738
-0.18,0.185,-57.6727042655885,-7.69097941973641
-0.18,0.2,-57.7370638633117,-5.51656991622678
-0.18,0.215,-57.7591160985787,-3.33917892458946
-0.18,0.23,-57.7388965978793,-1.16305259556918
-0.18,0.245,-57.6766908812746,1.007586543
-0.18,0.26,-57.57302912062,3.16858099403149
-0.18,0.275,-57.4286769576138,5.3158780971647
-0.18,0.29,-57.2446226822185,7.44556735596972
-0.18,0.305,-57.0220611772501,9.55391451147497
-0.18,0.32,-56.7623751225683,11.6373917183506
-0.18,0.335,-56.4671140142523,13.6927033298813
-0.18,0.35,-56.1379715865548,15.71680695422
-0.16,0.05,-53.2385854265243,-26.6744838772559
-0.16,0.065,-53.6409146212936,-24.692013882877
-0.16,0.08,-54.011368859593,-22.6728273109541
-0.16,0.095,-54.3481281525784,-20.6197572328533
-0.16,0.11,-54.6495039032895,-18.5359213879607
-0.16,0.125,-54.9139628177796,-16.4247042144161
-0.16,0.14,-55.1401494592868,-14.2897336336492
-0.16,0.155,-55.3269068162659,-12.1348528332156
-0.16,0.17,-55.4732942835601,-9.96408746990166
-0.16,0.185,-55.5786025143128,-7.78160889143191
-0.16,0.2,-55.6423646751346,-5.59169412295792
-0.16,0.215,-55.6643637508899,-3.39868350207912
-0.16,0.23,-55.6446356651303,-1.20693693706326
-0.16,0.245,-55.5834681209805,0.97921017980098
-0.16,0.26,-55.4813952071524,3.15549036101026
-0.16,0.275,-55.3391879581595,5.31774570208631
-0.16,0.29,-55.15784117973,7.46196691570437
-0.16,0.305,-54.9385569644379,9.58432889387475
-0.16,0.32,-54.6827254184918,11.6812221177561
-0.16,0.335,-54.3919031743823,13.749279392601
-0.16,0.35,-54.067790306919,15.7853975616946
-0.14,0.05,-51.0902931641872,-26.8622969384554
-0.14,0.065,-51.48532889996,-24.8713317633057
-0.14,0.08,-51.8492070515984,-22.8428494042709
-0.14,0.095,-52.1801127455885,-20.7797232859526
-0.14,0.11,-52.4763607255968,-18.6851223160544
-0.14,0.125,-52.7364195878766,-16.5624925826623
-0.14,0.14,-52.9589346805159,-14.4155335187774
-0.14,0.155,-53.1427490095758,-12.2481687772301
-0.14,0.17,-53.2869215380453,-10.0645122566418
-0.14,0.185,-53.3907423137136,-7.86882990278488
-0.14,0.2,-53.4537439410052,-5.66549807434026
-0.14,0.215,-53.4757090302182,-3.45895940735163
-0.14,0.23,-53.4566733809404,-1.25367721195387
-0.14,0.245,-53.3969248005907,0.945910501969679
-0.14,0.26,-53.2969976056272,3.13543626215944
-0.14,0.275,-53.1576629990091,5.31064656050161
-0.14,0.29,-52.9799156488042,7.46744247553139
