target_x,target_y,pupil_x,pupil_y
-0.2,0.05,-79.8843437013099,-40.6383044815317
-0.2,0.065,-80.4247725713048,-38.3286665197381
-0.2,0.08,-80.9198537699502,-35.9744023286542
-0.2,0.095,-81.3672037534714,-33.5786475562111
-0.2,0.11,-81.7646236612358,-31.1448604559688
-0.2,0.125,-82.1101296398667,-28.6768033105293
-0.2,0.14,-82.401981248247,-26.1785182291708
-0.2,0.155,-82.6387071739009,-23.6542975502288
-0.2,0.17,-82.8191275347066,-21.1086492583608
-0.2,0.185,-82.942372110489,-18.5462580098127
-0.2,0.2,-83.0078939548668,-15.9719425113559
-0.2,0.215,-83.0154779649403,-13.3906101408638
-0.2,0.23,-82.9652441432027,-10.8072098076694
-0.2,0.245,-82.8576454482263,-8.22668410383758
-0.2,0.26,-82.693460302263,-5.65392183442828
-0.2,0.275,-82.473779995526,-3.09371198464518
-0.2,0.29,-82.1999913746262,-0.550700126461923
-0.2,0.305,-81.8737553479596,1.97065184153329
-0.2,0.32,-81.4969818406824,4.46610185735742
-0.2,0.335,-81.0718019164148,6.93165914603262
-0.2,0.35,-80.6005378271429,9.36361053485446
-0.18,0.05,-77.7821318110623,-41.3253959625579
-0.18,0.065,-78.3213847684146,-39.0062869781182
-0.18,0.08,-78.815678051469,-36.6411366114576
-0.18,0.095,-79.2625865270676,-34.23311758664
-0.18,0.11,-79.6598701824002,-31.7857412396217
-0.18,0.125,-80.0055055957531,-29.3028387763079
-0.18,0.14,-80.2977154746499,-26.7885365161832
-0.18,0.155,-80.5349954518369,-24.2472253493032
-0.18,0.17,-80.7161373665942,-21.6835248246056
-0.18,0.185,-80.8402483331615,-19.1022424916348
-0.18,0.2,-80.9067650084671,-16.5083292890244
-0.18,0.215,-80.9154626080655,-13.9068319269892
-0.18,0.23,-80.8664583844714,-11.3028433283382
-0.18,0.245,-80.7602094535436,-8.70145226533629
-0.18,0.26,-80.5975050437836,-6.10769335828751
-0.18,0.275,-80.3794534178219,-3.52649858058354
-0.18,0.29,-80.1074638828003,-0.962651344413167
-0.18,0.305,-79.7832244516341,1.57925586145031
-0.18,0.32,-79.4086758295479,4.09485946774868
-0.18,0.335,-78.9859824872481,6.58005779959354
-0.18,0.35,-78.5175016225008,9.03103857034312
-0.16,0.05,-75.5716447780648,-41.9879881297132
-0.16,0.065,-76.1078822683334,-39.6613118507026
-0.16,0.08,-76.5996952727691,-37.2872586089433
-0.16,0.095,-77.044629494738,-34.8690310434675
-0.16,0.11,-77.4404153234782,-32.4101856549169
-0.16,0.125,-77.7850002589311,-29.9146139797864
-0.16,0.14,-78.0765794084327,-27.3865173772633
-0.16,0.155,-78.3136232037908,-24.8303756400312
-0.16,0.17,-78.4949015241853,-22.2509098669569
-0.16,0.185,-78.6195034897222,-19.6530402387492
-0.16,0.2,-78.6868523014726,-17.0418395348278
-0.16,0.215,-78.696714653196,-14.4224833958139
-0.16,0.23,-78.6492044050366,-11.8001984640965
-0.16,0.245,-78.5447804026439,-9.18020961841727
-0.16,0.26,-78.3842385127892,-6.56768754725405
-0.16,0.275,-78.1686981438278,-3.96769789234916
-0.16,0.29,-77.899583682979,-1.38515310654175
-0.16,0.305,-77.578601447733,1.17523193298741
-0.16,0.32,-77.2077128592752,3.70897968318088
-0.16,0.335,-76.78910463725,6.21188437269728
-0.16,0.35,-76.3251568610366,8.6800406298731
-0.14,0.05,-73.2542970079386,-42.6224501962188
