frame_no,target_no,time_stamp,target_x,target_y,pupil_x,pupil_y,ellipse_min_axis,ellipse_max_axis,ellipse_angle,glint_1_x,glint_1_y,glint_2_x,glint_2_y,glint_3_x,glint_3_y,glint_4_x,glint_4_y
0,0,738084.450081437,-0.2,0.05,14.1230054544784,-38.9612665048471,28.728390818443,25.3954254491558,0.347756696451786,31.169797593848,-14.1093857552979,8.86917886034091,-16.4007788769692,8.93476192968522,-33.416951346309,32.0031587959418,-32.3647161279597
1,1,738084.450081609,-0.2,0.065,14.169278420358,-37.1917090052452,28.7030647571298,25.6418034958853,0.36400263188416,31.2013819533397,-13.3247998292989,8.89536077702004,-15.6143913446626,8.96067145930747,-32.6339712889444,32.0321444275806,-31.5840505386611
2,2,738084.450081797,-0.2,0.08,14.2127139852527,-35.3826190504293,28.6790430434437,25.8802767996901,0.381959254093522,31.2313151887233,-12.5207216452128,8.92005426880579,-14.8084347178148,8.98508790383716,-31.831273270361,32.0594115096699,-30.7837450804064
3,3,738084.450081936,-0.2,0.095,14.2531394557778,-33.5361517119467,28.6563502448215,26.1099883394906,0.401877592406252,31.2594881198127,-11.6981504883952,8.94316624353028,-13.98390964496,9.00791858978572,-31.0098464130835,32.0848541731732,-29.964786492277
4,4,738084.450082049,-0.2,0.11,14.2903932841712,-31.6547356545355,28.635006880695,26.3301029830396,0.424055494244499,31.2857979392593,-10.8582212821817,8.9646094981848,-13.1419528851055,9.02907677077658,-30.1708164797896,32.1083733943279,-29.1282976462753
5,5,738084.450082168,-0.2,0.125,14.3243272284437,-29.7410625164365,28.6150292616195,26.5398179031324,0.448847706449098,31.3101495334936,-10.0021996027049,8.98430385888113,-12.2838323264373,9.04848276466111,-29.3154410282828,32.1298782995954,-28.2755327075355
6,6,738084.45008231,-0.2,0.14,14.3548084062619,-27.7980716196583,26.7383729828187,28.5964293716138,-1.09411825031056,31.3324567435592,-9.13147437238621,9.00217726263019,-11.4109396762091,9.06606503176017,-28.4451022335168,32.1492874023482,-27.4078699699262
7,7,738084.450082431,-0.2,0.155,14.381721184489,-25.8289300884279,26.9250609453345,28.5792147994621,-1.06274227125577,31.352643532982,-8.24754826910297,9.01816675243176,-10.5247808584685,9.08176116573816,-27.5612974099801,32.1665297385634,-26.5268024005311
8,8,738084.450082548,-0.2,0.17,14.4049688552493,-23.8370086032854,27.0992369406794,28.5633887156383,-1.02721292924263,31.3706450309137,-7.35202596272849,9.03221935824876,-9.62696423119078,9.09551876977525,-26.6656273427148,32.1815458700977,-25.6339260011707
9,9,738084.450082664,-0.2,0.185,14.4244750463829,-21.8258531700956,27.2603273238223,28.5489498971337,-0.986804039890362,31.3864084212362,-6.44660036546137,9.04429283882816,-8.71918680937534,9.10729619307932,-25.7597826104202,32.1942887268677,-24.730926170042
10,10,738084.450082781,-0.2,0.2,14.4401848276058,-19.7991534227976,27.4078373770596,28.5358927987007,-0.940653538560049,31.3998936521437,-5.53303715314649,9.05435626280746,-7.80321875169268,9.1170631062704,-24.8455281554339,32.2047242633411,-23.8195623176256
11,11,738084.45008291,-0.2,0.215,14.4520654771527,-17.7607081099643,27.5413577571243,28.5242076654257,-0.88775136713708,31.4110739457801,-4.61315787772879,9.06239041210521,-6.88088643146674,9.12480089879669,-23.924686419063,32.2128319100063,-22.9016510544142
12,12,738084.450083046,-0.2,0.23,14.460106885991,-15.7143885159291,27.6605694863139,28.5138806857512,-0.826941856284635,31.4199360935377,-3.68882204239906,9.06838799600548,-5.95405446442654,9.13050288689245,-22.9991194129353,32.2186048067245,-21.979048319997
13,13,738084.450083162,-0.2,0.245,14.464321590932,-13.6641006408126,27.7652473549208,28.5048941797765,-0.756956995750921,31.4264805293698,-2.76190854790345,9.07235367027968,-5.02460710277493,9.13417432658392,-22.0707101348143,32.2220498117509,-21.0536308606329
14,14,738084.450083278,-0.2,0.26,14.4647444326011,-11.6137470100959,27.8552616557905,28.4972268187955,-0.676506890760793,31.4307211805673,-1.83429693879367,9.07430386193316,-4.0944294255841,9.13583223247183,-21.1413437584838,32.223187287366,-20.1272774834528
15,15,738084.450083522,-0.2,0.275,14.4614318559744,-9.56718898378911,27.9305782289144,28.490853868422,-0.584462927746953,31.4326851025201,-0.907848880955404,9.0742664063431,-3.16538875819583,9.13550500918037,-20.2128890306912,32.2220506701713,-19.201850518773
16,16,738084.450083753,-0.2,0.29,14.4544608736462,-7.52821040750986,27.991256850076,28.4857474558203,-0.480166614439303,31.4324119106764,0.0156097132974532,9.07228000929154,-2.23931673829218,9.13323190812434,-19.2871802938099,32.2186858407135,-18.2791779076448
17,17,738084.450084043,-0.2,0.305,14.4439277267705,-5.50048338682466,28.0374480528759,28.4818768498508,-0.363860132384629,31.4299530288593,0.934305527811112,9.06839355155851,-1.3179924147767,9.12906232734093,-18.3660005219917,32.2131503129707,-17.3610363009483
18,18,738084.45008427,-0.2,0.32,14.429946286926,-3.48753686784622,28.0693885203327,28.479208751669,-0.237139911698308,31.4253707780602,1.84653331389264,9.06266525789635,-0.40312671973787,9.1230549763186,-17.4510657132419,32.2055122690203,-16.449135511105
19,19,738084.450084489,-0.2,0.335,14.4126462447903,-1.49272859522606,28.0873952220648,28.4777075941652,-0.103202785323747,31.4187373335783,2.75066970845698,9.0551617553445,0.503651403441604,9.11527693083344,-16.5440109230807,32.1958494677582,-15.5451046008855
20,20,738084.450084678,-0.2,0.35,14.3921711391478,0.480779110865936,28.0918585046938,28.477335840057,0.0333931821763999,31.410133580789,3.64518518204385,9.04595704778462,1.40080699780726,9.10580260474097,-15.6463781606883,32.1842480587185,-14.6504798292141
21,21,738084.450084846,-0.18,0.05,16.6066893676741,-39.0306957648948,28.7442555103083,25.2436461639243,0.402275165947826,32.2851882257777,-14.1323731269409,9.98610639735748,-16.4241784341862,10.0504071775836,-33.4383070834489,33.1174770454675,-32.3889986023486
22,22,738084.450085056,-0.18,0.065,16.6685480906585,-37.2473203540985,28.7183935651225,25.4920742951283,0.420781306353381,32.3247901842519,-13.3421584016285,10.0202406232157,-15.632156052505,10.0842574193073,-32.6497313389347,33.1544527682737,-31.602771376101
23,23,738084.450085233,-0.18,0.08,16.7262336133025,-35.4234459560482,28.6938645557033,25.732578079235,0.441144746203895,32.3621050089236,-12.5319852194667,10.0522520200561,-14.8200965249511,10.1159807447899,-31.8409682871499,33.1890729191072,-30.7964350129132
24,24,738084.450085358,-0.18,0.095,16.7794954826716,-33.5612719261282,28.6706945861955,25.9642768850672,0.463620423004032,32.3969837902019,-11.7028719903771,10.0820083094098,-13.989019607572,10.1454453480219,-31.0130257820458,33.2211920019359,-29.9709948600027
25,25,738084.450085575,-0.18,0.11,16.8280999588748,-31.6632835214861,28.6489055353654,26.1863117626576,0.488505873144332,32.4292866919414,-10.8559788234526,10.1093857982998,-13.140087248261,10.172528045463,-30.1670544072518,33.2506740854909,-29.1275984725696
26,26,738084.45008584,-0.18,0.125,16.8718332401527,-29.7322410743359,28.6285148784003,26.3978563518284,0.516148690041402,32.4588848179498,-9.99260246027089,10.1342710548941,-12.2745985249934,10.1971159481851,-29.3043425578376,33.2773946530412,-28.2675307016631
27,27,738084.4500861,-0.18,0.14,16.9105045252669,-27.7711641879479,28.6095355551603,26.5981277995384,0.546954812485213,32.4856619908216,-9.11416873468407,10.1565624982148,-11.393982102587,10.2191080473412,-28.4263090364849,33.3012423558489,-27.3922063052501
