frame_no,target_no,time_stamp,target_x,target_y,pupil_x,pupil_y,ellipse_min_axis,ellipse_max_axis,ellipse_angle,glint_1_x,glint_1_y,glint_2_x,glint_2_y,glint_3_x,glint_3_y,glint_4_x,glint_4_y
0,0,738084.647276032,-0.2,0.05,-49.2064537313557,-89.1520897120014,42.5473732608464,26.0180681453971,-0.504330138709492,-14.8259579286293,-58.5593005436455,-47.8224025204024,-54.8189812049205,-50.2964671459621,-78.3146282918109,-14.0971180573396,-81.5004741541628
1,1,738084.647276166,-0.2,0.065,-49.5446968161152,-87.2504808787252,42.4523297517199,26.5497662761819,-0.516440027654861,-15.0074103488257,-57.7948357068385,-48.0178768026095,-54.0546959631314,-50.4892139450568,-77.5607855807483,-14.278099758237,-80.7449784744783
2,2,738084.647276334,-0.2,0.08,-49.8515979240482,-85.2852098714211,42.3609335272936,27.0818449682208,-0.52896538415276,-15.1748041633708,-56.9981972040785,-48.1991456332736,-53.2582831454027,-50.6677141235835,-76.7747216188852,-14.4451163871026,-79.9572456078411
3,3,738084.647276432,-0.2,0.095,-50.1256125789872,-83.2579144758871,42.2731852712005,27.61322974562,-0.541927122400574,-15.3273199257991,-56.1699382271403,-48.3653562543478,-52.4302969759576,-50.8311194619132,-75.9569664184685,-14.5973525502354,-79.13780861385
4,4,738084.647276539,-0.2,0.11,-50.36531845559,-81.1706079769558,42.1890783698836,28.1427878706411,-0.555347529177971,-15.4641946033949,-55.3108067148524,-48.5157122470817,-51.5714861950364,-50.9786384462346,-75.1082443834068,-14.7340488542236,-78.287395114872
5,5,738084.647276667,-0.2,0.125,-50.5694356152523,-79.0256800740899,28.669339545358,42.1085982185985,1.0015459746091,-15.5847320343785,-54.4217472033577,-48.6494843236422,-50.682795890084,-51.109547027254,-74.2294763801247,-14.8545123054018,-77.4069293416241
6,6,738084.647276792,-0.2,0.14,-50.7368455243718,-76.8258918318238,29.1916703920044,42.0317217006676,0.987135437662597,-15.688312826859,-53.5038996339741,-48.7660205725255,-49.7653662876225,-51.2231988255872,-73.3217787788254,-14.9581261557688,-76.4975311455861
7,7,738084.647276883,-0.2,0.155,-50.8666083468396,-74.5743644171914,29.7085449995752,41.9584168507555,0.972190251259045,-15.7744034341202,-52.5585949683529,-48.8647558848812,-48.8205283560512,-51.3190345114721,-72.3864593100572,-15.0443589314602,-75.5605118236497
8,8,738084.647276974,-0.2,0.17,-50.9579780093323,-72.2745615676034,30.2187212720189,41.8886427011274,0.956681756943385,-15.8425641513679,-51.5873475530839,-48.9452202988422,-47.8497961620035,-51.3965900967003,-71.425009673534,-15.1127723903388,-74.5973666925289
9,9,738084.647277061,-0.2,0.185,-51.0104146039168,-69.9302659117336,30.7209652698219,41.8223493065179,0.940579494088491,-15.8924558011123,-50.5918442769456,-49.0070460207303,-46.8548560238223,-51.4555038986231,-70.4390949367302,-15.1630281771392,-73.609764451238
10,10,738084.647277151,-0.2,0.2,-51.0235937421354,-67.5455494796771,31.2140662039252,41.7594779412962,0.923851129397843,-15.9238449073372,-49.5739306684089,-49.049972915024,-45.8375526099679,-51.4955219693494,-69.4305398651793,-15.1948929773218,-72.5995334742918
11,11,738084.647277273,-0.2,0.215,-50.9974125664871,-65.1247389259996,31.696851223191,41.6999614572525,0.906462399263422,-15.9366072013818,-48.5355941837346,-49.0738522981818,-44.7998722328257,-51.5165018265751,-68.4013124291802,-15.2082420133138,-71.5686452812542
12,12,738084.647277363,-0.2,0.23,-50.9319922254273,-62.6723761712452,32.1681996296153,41.6437247825835,0.888377070237457,-15.9307293531275,-47.4789450313943,-49.0786489227965,-43.7439236835446,-51.5184143739826,-67.3535048273269,-15.2030607771056,-70.5191955239109
13,13,738084.647277452,-0.2,0.245,-50.8276767212297,-60.1931753280684,32.6270561724509,41.5906855458401,0.869556922708733,-15.9063088770864,-46.4061949613038,-49.0644410956446,-42.6719170362024,-51.5013439562908,-66.2893124507191,-15.1794449488638,-69.4533829157583
14,14,738084.647277541,-0.2,0.26,-50.6850281697508,-57.6919768886145,33.0724430971975,41.5407548005221,0.849961766597401,-15.8635522215286,-45.3196345131019,-49.0314189330235,-41.5861409151507,-51.4654865538178,-65.2110112780929,-15.1375985093671,-68.3734865948822
15,15,738084.64727763,-0.2,0.275,-50.5048186029647,-55.1737002411105,33.5034706652616,41.4938378266011,0.829549496582213,-15.8027711066995,-44.2216092628184,-48.9798808162031,-40.4889387643939,-51.4111461807924,-64.1209342382513,-15.0778301116675,-67.2818424573007
16,16,738084.647277719,-0.2,0.29,-50.2880185724712,-52.6432956222592,33.9193459253407,41.4498349861888,0.808276197488399,-15.7243772324694,-43.1144956295883,-48.9102281657155,-39.3826846800838,-51.33872960739,-63.0214470994882,-15.0005478313483,-66.1808190210694
17,17,738084.647277807,-0.2,0.305,-50.0357828886226,-50.1056965885131,34.3193795593327,41.408642610713,0.786096312552751,-15.6288755237301,-42.0006768031657,-48.8229587027957,-38.2697593661637,-51.2487395748766,-61.9149244458571,-14.9062524624476,-65.0727933814678
