frame_no,target_no,time_stamp,target_x,target_y,pupil_x,pupil_y,ellipse_min_axis,ellipse_max_axis,ellipse_angle,glint_1_x,glint_1_y,glint_2_x,glint_2_y,glint_3_x,glint_3_y,glint_4_x,glint_4_y
0,0,738084.762076247,-0.2,0.05,-43.1802824644545,-12.0207321439433,25.7794677549991,21.3122044545374,-1.29928607175362,-21.7800171311371,6.85774241650239,-42.1561130782607,6.44161136260132,-41.6872950455231,-9.95359506794562,-21.7509449520498,-8.34497677684905
1,1,738084.762076357,-0.2,0.065,-43.5100824560795,-10.2756282894275,25.7767482953394,21.3344708594547,-1.33887910668635,-21.9298888724322,7.6416220711552,-42.3082695148103,7.22343265816632,-41.8370287706305,-9.17272638195727,-21.9006800300531,-7.56183642490333
2,2,738084.762076453,-0.2,0.08,-43.8146493338358,-8.50457386618202,25.7749961687119,21.3488419836681,-1.37907691818132,-22.0678587122738,8.43730829512633,-42.448379976883,8.0170082065147,-41.9746702328142,-8.37994437014032,-22.0385002392347,-6.76677128741969
3,3,738084.762076571,-0.2,0.095,-44.0925687861251,-6.7101516650904,25.7742425246966,21.3550295023346,-1.41977183062187,-22.1932570800409,9.24357056398385,-42.5757658294391,8.82111008446016,-42.0995444119175,-7.57647017162522,-22.1637359060528,-5.96100681779933
4,4,738084.762076702,-0.2,0.11,-44.3425274367285,-4.89515165497902,21.3527846849377,25.7745158937093,0.109948859417258,-22.3054633727299,10.059080175675,-42.689797972749,9.63441255534076,-42.2110261827111,-6.76362345306658,-22.2757663958709,-5.14586717482485
5,5,738084.762076799,-0.2,0.125,-44.5633305883882,-3.06255320722908,21.3419029289629,25.7758418784506,0.0686157288968731,-22.4039145261273,10.88241897588,-42.7899055263654,10.4555007817577,-42.308548975368,-5.94281379103365,-22.3740286877691,-4.32276656791122
6,6,738084.762076925,-0.2,0.14,-44.753918933504,-1.21550352249314,21.3222277689742,25.7782428650305,0.0271530362297213,-22.4881130759173,11.7120899192711,-42.8755839975495,11.282881367983,-42.3916129138373,-5.11553021632822,-22.4580254382563,-3.49319876026662
7,7,738084.76207702,-0.2,0.155,-44.9133837859866,0.642707456786079,21.2936542317285,25.7817377568453,-0.0143089551108427,-22.5576344905086,12.5465293249019,-42.9464027131053,12.1149945903429,-42.4597922114116,-4.28332905940299,-22.5273323155359,-2.65872486988112
8,8,738084.762077148,-0.2,0.17,-45.0409804080623,2.50867523826797,21.2561314229587,25.7863417398705,-0.0556401276280009,-22.6121335679656,13.3841206221392,-43.0020113042583,12.9502281122654,-42.5127416136637,-3.44782029786576,-22.5816043966262,-1.82095967020912
9,9,738084.762077273,-0.2,0.185,-45.1361390470679,4.37891154974654,21.2096642514021,25.7920660821859,-0.0967129787840527,-22.6513497094292,14.2232093264154,-43.0421450544587,13.7869319237626,-42.550201699408,-2.61065266430653,-22.6205814396665,-0.981556649785933
10,10,738084.762077368,-0.2,0.2,-45.1984733555205,6.24987705866604,21.1543142209827,25.7989179737803,-0.137404964861661,-22.6751109103327,15.0621189349263,-43.0666289492362,14.6234341961416,-42.5720028797449,-1.77349782205062,-22.6440918726923,-0.142192139475296
11,11,738084.762077464,-0.2,0.215,-45.2277859421607,8.11801533389342,25.8069004100636,21.0901992513169,1.393195712658,-22.6833363474446,15.8991673941976,-43.0753803044088,15.4580577047197,-42.5780679726238,-0.938033954971818,-22.6520553769608,0.695451145400845
12,12,738084.76207756,-0.2,0.23,-45.2240708886474,9.97978729036765,25.8160121224861,21.0174925189167,1.35360300342436,-22.6760374826933,16.7326837666587,-43.0684098924022,16.2891364476686,-42.5684132738665,-0.105929142709761,-22.6444839858241,1.52970077557695
13,13,738084.76207766,-0.2,0.245,-45.187513161983,11.8317053346319,25.8262475574971,20.9364203436752,1.31470954933298,-22.653317651604,17.5610247135504,-43.0458215338993,17.1150320794066,-42.5431480931855,0.721175097084118,-22.621481667117,2.35891110831573
14,14,738084.762077755,-0.2,0.26,-45.1184849513198,13.6703664402836,25.8375969056078,20.8472591780035,1.27660036678775,-22.6153701527256,18.3825904174201,-43.0078101712188,17.934149782947,-42.5024727728583,1.54167972322139,-22.5832424055758,3.18147924061613
15,15,738084.762077851,-0.2,0.275,-45.0175390547844,15.4924834234217,25.8500461796259,20.7503317841039,1.23934857569479,-22.5624749019858,19.1958395887711,-42.9546584879614,18.7449532269171,-42.4466752548841,2.35404318669776,-22.5300468493934,3.99586005884547
16,16,738084.762077975,-0.2,0.29,-44.8853995317811,17.2949137574042,25.8635773408811,20.6460027109264,1.20301519388922,-22.4949937600125,19.9993032368288,-42.8867321841959,19.5459782883479,-42.376126307013,3.15679522703259,-22.4622576291677,4.80058006350928
17,17,738084.76207807,-0.2,0.305,-44.7229499154804,19.0746853620431,25.8781684707778,20.5346732009349,1.16764928326958,-22.4133646790035,20.791596931751,-42.8044740554531,20.3358452695892,-42.291273556976,3.94854917547435,-22.3803134960075,5.59424969492371
18,18,738084.762078165,-0.2,0.32,-44.531219342874,20.8290189149506,25.8937939840708,20.4167756702466,1.13328839367927,-22.3180948467779,21.5714313420483,-42.7083970553276,21.1132693940433,-42.1926345155283,4.7280125473068,-22.2847224566739,6.37557394176147
19,19,738084.762078264,-0.2,0.335,-44.3113670103187,22.5553463600486,25.910424878362,20.2927679171977,1.09995924362007,-22.2097530281425,22.3376208932668,-42.5990765442649,21.8770694275341,-42.0807887915532,5.49399576743818,-22.1760541060777,7.14336107657743
20,20,738084.762078368,-0.2,0.35,-44.0646653795587,24.2513254133573,25.9280290176942,20.1631271979683,1.06767857476651,-22.0889613169029,23.0890904586592,-42.4771419405319,22.6261743366351,-41.9563697156481,6.24541893785498,-22.0549313706735,7.8965294270234
21,21,738084.762078491,-0.18,0.05,-41.3018040298977,-11.9589657750746,25.7381347129575,21.6558201927468,-1.28895341078293,-20.9618012500618,6.88259237992609,-41.3432387604679,6.46432151592037,-40.8737763812293,-9.93359009288876,-20.9321082712736,-8.32511591162271
22,22,738084.762078607,-0.18,0.065,-41.6255432023682,-10.200371828195,25.7350813544842,21.6816527734197,-1.33048115007642,-21.1092888296108,7.6735396640367,-41.4930875491542,7.25317943732769,-41.0211780509278,-9.14573147231862,-21.0794553583271,-7.53496300864006
23,23,738084.762078741,-0.18,0.08,-41.9245804831986,-8.41522573238666,25.7330099900998,21.6992132184622,-1.37270571349046,-21.2451119801604,8.4765957034026,-41.6311224352917,8.05409371627585,-41.1567187182819,-8.34565301797372,-21.2151251310418,-6.73257821978538
24,24,738084.762078838,-0.18,0.095,-42.1974997724644,-6.60617515210027,25.7319529093386,21.7081860718536,-1.41550312646635,-21.3685988867138,9.29049715420492,-41.7566620063333,8.86580373405935,-41.2797206929239,-7.53460817712508,-21.3384456797644,-5.91921943363133
25,25,738084.762078934,-0.18,0.11,-42.4429850228907,-4.7760844330911,21.7082979544181,25.7319397341958,0.112058013366381,-21.4791263071806,10.113877774642,-41.8690740187383,9.68694634983466,-41.3895558284884,-6.71395366307558,-21.4487937403075,-5.09624799345247
26,26,738084.762079029,-0.18,0.125,-42.659838369576,-2.92801611510269,21.6993225987921,25.7329970988384,0.0685288849381449,-21.5761283442597,10.9452775104934,-41.9677842918013,10.5160649724244,-41.485654391869,-5.88514048577326,-21.5456034695215,-4.26511968893033
