frame_no,target_no,time_stamp,target_x,target_y,pupil_x,pupil_y,ellipse_min_axis,ellipse_max_axis,ellipse_angle,glint_1_x,glint_1_y,glint_2_x,glint_2_y,glint_3_x,glint_3_y,glint_4_x,glint_4_y
0,0,738084.75937489,-0.2,0.05,-28.5367045261071,-6.16529226450485,19.5824536756778,17.1817587771966,-1.35801887615009,-12.3788109799978,7.81273756798329,-28.2191635606447,7.3486782992481,-27.799453399151,-4.91122525898966,-12.401251590429,-3.77045490805612
1,1,738084.759375007,-0.2,0.065,-28.7610446108146,-4.83056124133555,19.5818828228794,17.1866222624471,-1.40439439852401,-12.4801389960247,8.41497901504423,-28.3220123704699,7.94997388904112,-27.9008587289916,-4.31049113824176,-12.5027064756382,-3.16867103204101
2,2,738084.75937514,-0.2,0.08,-28.9683242387848,-3.47757398841787,17.1846866258714,19.5821099801973,0.119475720305763,-12.5733681520309,9.0254572163781,-28.4166556725668,8.55947983161357,-27.9940314361718,-3.70144124741565,-12.5960563867212,-2.55856914894139
3,3,738084.759375245,-0.2,0.095,-29.1575840078588,-2.10834397806212,17.1757378022703,19.5831608345997,0.0721829677458102,-12.6580440676897,9.64320301496124,-28.5026327325217,9.17622808615533,-28.0785129415228,-3.08503927189865,-12.6808464964398,-1.94111502765505
4,4,738084.759375341,-0.2,0.11,-29.3279325470997,-0.72503488355203,17.1595968913105,19.5850590080295,0.0247166154844157,-12.7337456840594,10.2671759367133,-28.5795165666962,9.79917947326207,-28.1538786276472,-2.46232051211395,-12.7566553217332,-1.31734611943192
5,5,738084.759375437,-0.2,0.125,-29.4785585210392,0.670053696394107,17.1361237225633,19.5878258018652,-0.0227262921990192,-12.8000910806487,10.8962712784431,-28.6469198394599,10.4272307583367,-28.2197437220711,-1.83438486185236,-12.8231005461793,-0.688364517560208
6,6,738084.759375532,-0.2,0.14,-29.6087419384093,2.07450330386172,17.1052199386506,19.5914799556692,-0.0699495685756576,-12.8567429452178,11.5293285518239,-28.7045004088411,11.0592230880091,-28.2757688249742,-1.20238842792309,-12.8798444948373,-0.0553285570453417
7,7,738084.759375628,-0.2,0.155,-29.7178644655632,3.48579624214511,19.596037423142,17.0668314943477,1.45403354347359,-12.9034135482509,12.1651411637115,-28.7519663705207,11.693951659905,-28.3216649316154,-0.567533909161159,-12.9265991137644,0.580556828364505
8,8,738084.759375723,-0.2,0.17,-29.8054184531098,4.90133741917032,19.6015111718931,17.0209504787074,1.40781052421217,-12.9398690812739,12.8024671671284,-28.7890804573882,12.3301764601768,-28.3571978070093,0.0689401011340896,-12.9631303124996,1.21805082563262
9,9,738084.759375818,-0.2,0.185,-29.87101441875,6.31847799946588,19.6079110098671,16.9676161906585,1.36234361924115,-12.965933231793,13.4400408753035,-28.8156636656589,12.9666338613784,-28.382191584305,0.705770683206574,-12.9892615430773,1.85588833378057
10,10,738084.759375912,-0.2,0.2,-29.9143867640535,7.73454037551012,19.6152434441656,16.9069154184141,1.31778142907918,-12.9814898872575,14.0765850957517,-28.8315979984538,13.6020488379751,-28.3965314783275,1.34168278760114,-13.0048765067764,2.49279218246675
11,11,738084.759376039,-0.2,0.215,-29.935397553866,9.14684391425324,19.6235115735892,16.8389818967469,1.27425305713058,-12.986484885421,14.7108237147171,-28.8368282430078,14.2351475301691,-28.4001655311059,1.97540179205173,-13.0099209070959,3.1274857113396
12,12,738084.759376135,-0.2,0.23,-29.9340382488461,10.5527309033652,19.6327150200482,16.7639949485931,1.23186688242128,-12.9809267575718,15.341494346066,-28.8313627271973,14.8646698705976,-28.3931053357862,2.60566613336962,-13.0044031943475,3.7587054222524
13,13,738084.759376232,-0.2,0.245,-29.9104293398461,11.949592105154,19.6428498993687,16.6821773372292,1.19071022975523,-12.9648864429567,15.9673607540563,-28.8152730333209,15.4893819838161,-28.3754257176362,3.2312397241918,-12.9883942807153,4.38521341498319
14,14,738084.759376327,-0.2,0.26,-29.8648179084621,13.3348913454995,19.6539088317727,16.5937923918263,1.15084982880904,-12.938495985625,16.5872247666549,-28.7886926804567,16.1080880757999,-28.3472633842049,3.85092387135687,-12.9620262368284,5.00580932239503
15,15,738084.759376431,-0.2,0.275,-29.7975731901415,14.706188593383,19.665880994625,16.4991404762918,1.11233291203315,-12.9019462572162,17.1999374149145,-28.7518148194136,16.7196415495097,-28.308814589406,4.46356843114915,-12.9254900133958,5.61934147996739
16,16,738084.759376527,-0.2,0.29,-29.7091802943724,16.0611610557525,19.6787522143576,16.3985549149061,1.07518878895653,-12.8554837791048,17.8044090631427,-28.7048890146413,17.3229551118146,-28.2603318865576,5.06808196554926,-12.8790322613858,6.2247170935867
17,17,738084.759376622,-0.2,0.305,-29.600232273825,17.397621874767,19.6925050958869,16.2923974805762,1.03943073257457,-12.7994067434726,18.3996183325487,-28.6482172139457,17.9170096749558,-28.202120071827,5.66344070126531,-12.8229513503164,6.82091120705735
18,18,738084.759376718,-0.2,0.32,-29.4714207851084,18.713536110038,19.7071191879025,16.1810535716287,1.00505803102919,-12.7340603539369,18.9846196654008,-28.5821490282335,18.5008619000533,-28.1345314407955,6.24869613742424,-12.7575927056635,7.40697431575012
19,19,738084.759376882,-0.2,0.335,-29.3235256166936,20.0070337863249,16.0649272099703,19.722571180133,-0.598738245651188,-12.6598316216,19.5585494250029,-28.5070764589613,19.0736502783503,-28.0579604962015,6.82298119587581,-12.6833436007147,7.98203851893229
20,20,738084.759377009,-0.2,0.35,-29.1574033714778,21.2764198802339,15.9444359825067,19.7388351266896,-0.630387899645061,-12.5771437613546,20.1206304763396,-28.4234282200551,19.6345996953588,-27.9728382538676,7.38551485746663,-12.6006275486483,8.54532215609312
21,21,738084.759377131,-0.18,0.05,-27.019662273855,-6.09722119116178,19.5562563170992,17.4078146204362,-1.34885503646287,-11.7081127016561,7.84323577534852,-27.5513825550006,7.37742781720584,-27.131102920195,-4.88372511447538,-11.7300088984496,-3.74293404484886
22,22,738084.759377241,-0.18,0.065,-27.238239592112,-4.75161239687159,19.5554288741255,17.4150513566678,-1.3980878763394,-11.8070611023767,8.45103501236185,-27.6518996920155,7.98426230928235,-27.2301608156478,-4.27747864508783,-11.829082719746,-3.1356266719187
23,23,738084.75937735,-0.18,0.08,-27.4402366046681,-3.3873267538251,17.4152070962108,19.5554110745413,0.122822432065348,-11.898134552386,9.0672797481724,-27.7444317818083,8.59951624616759,-27.3212061794727,-3.66270469248888,-11.920275676142,-2.5197894182366
24,24,738084.759377503,-0.18,0.095,-27.6246998397169,-2.00643069207637,17.4080483733791,19.5562295792332,0.0725044473209618,-11.9808807500467,9.69097417733962,-27.8285198179734,9.22219501562864,-27.4037822304893,-3.04039327888638,-12.0031350185731,-1.89641445450723
25,25,738084.75937763,-0.18,0.11,-27.7907427677701,-0.611147784968753,17.3933788843493,19.5579089443094,0.0219875121921244,-12.0548801858767,10.3210477391202,-27.9037380349149,9.85122943249892,-27.4774656478992,-2.41160949457305,-12.077240812003,-1.26656909150676
26,26,738084.759377725,-0.18,0.125,-27.9375579760266,0.796156132946001,17.3710434253854,19.5604713541798,-0.0284899887787067,-12.1197520483862,10.9563625121247,-27.96969990002,10.4854831280277,-27.5418725486511,-1.77748617483397,-12.1422118471138,-0.631388436623526
27,27,738084.759377819,-0.18,0.14,-28.0644286542372,2.21299083105848,17.3409313140549,19.563936368305,-0.07869111267676,-12.1751597867388,11.5957220607281,-28.0260637581375,11.1237613878178,-27.5966641130196,-1.13921512232795,-12.1977112079949,0.00793340453660143
28,28,738084.759377915,-0.18,0.155,-28.1707390835248,3.63676228178951,19.5683206859554,17.3029791830849,1.4424092650455,-12.2208161768393,12.2378816067437,-28.072537972741,11.7648213118891,-27.6415517029887,-0.498036999604611,-12.2434513432558,0.650153458498461
29,29,738084.759378011,-0.18,0.17,-28.2559838238636,5.06479564035769,19.5736379350367,17.2571730366826,1.39343301356081,-12.2564877445671,12.8815593495823,-28.1088854153506,12.4073831202017,-27.6763013253664,0.144769933223359,-12.2791984939103,1.29399117022747
30,30,738084.759378105,-0.18,0.185,-28.3197753337133,6.49436015909974,19.5798984895587,17.2035494929903,1.34537154586164,-12.2819984137258,13.5254487121505,-28.1349271688302,13.050142381119,-27.7007373057471,0.787902014568553,-12.3047763449569,1.93814062261108
31,31,738084.7593782,-0.18,0.2,-28.3618497917331,7.92269551325843,19.5871093187693,17.1421961561377,1.29839659363621,-12.2972322665615,14.1682312509276,-28.1505453307253,13.6917829015762,-27.7147450600782,1.4300430510974,-12.320068789425,2.58128343074103
32,32,738084.759378296,-0.18,0.215,-28.3820709404362,9.34703894949698,19.5952738738636,17.0732510856317,1.25265399422591,-12.3021353306145,14.8085899394113,-28.1556848291056,14.3309899885588,-27.7182728770179,2.06987757148084,-12.3250217174181,3.22210201824991
33,33,738084.759378391,-0.18,0.23,-28.3804318367164,10.7646526343609,19.6043920130277,16.9969013663626,1.20826252437761,-12.2967163360299,15.4452225163575,-28.1503541941444,14.966463773814,-27.7113326550795,2.70610415644308,-12.3196437750356,3.85929296925665
34,34,738084.759378488,-0.18,0.245,-28.3570544607973,12.1728505709922,19.6144599691513,16.9133808141218,1.16531398728399,-12.2810464207386,16.0768545852718,-28.134625262441,15.5969322887929,-27.6939995723917,3.33744853204576,-12.3040060703585,4.4915801419268
35,35,738084.759378582,-0.18,0.26,-28.3121872023397,13.569024458769,19.6254703589451,16.8229668748012,1.12387434744191,-12.2552577953256,16.7022521597536,-28.10863182599,16.2211639850149,-27.6664107017979,3.96267612090708,-12.2782408378338,5.11772723684269
36,36,738084.759378677,-0.18,0.275,-28.2462003131505,14.9506679204491,19.6374122360981,16.7259768088798,1.08398566584558,-12.2195414131289,17.3202333702009,-28.0725672719262,16.8379794159562,-27.6287626182017,4.58060376655585,-12.2425391074129,5.73654953674718
37,37,738084.759378772,-0.18,0.29,-28.159579478738,16.3153985771981,19.6502711844203,16.6227632717745,1.04566857725589,-12.1741437223461,17.9296790797533,-28.0266812908423,17.4462618289043,-27.5813080767015,5.19011037812079,-12.1971474544598,6.34692456279559
38,38,738084.759378866,-0.18,0.305,-28.0529177154314,17.6609775411052,16.5137094169084,19.6640294533933,-0.561871255633275,-12.1193626040551,18.5295421991574,-27.9712757590309,18.0449664570107,-27.5243518674775,5.79014628402541,-12.1423639353146,6.94780143779906
39,39,738084.75937896,-0.18,0.32,-27.9269058450021,18.9853259873045,16.399223661256,19.6786661289024,-0.597054954799952,-12.0555426218543,19.1188555390576,-27.9066999221173,18.6331283505182,-27.4582459754378,6.37974113189931,-12.0785333331108,7.53820879093941
40,40,738084.759379087,-0.18,0.335,-27.7823218301185,20.286538574831,16.2797342547642,19.6941573379098,-0.630705567630713,-11.9830697243907,19.6967380910923,-27.8333450233401,19.2098686389373,-27.3833841882546,6.95801022457171,-12.0060418565821,8.11726109683452
41,41,738084.759379193,-0.18,0.35,-27.6200192746405,21.5628935956296,16.1556837961431,19.7104764818322,-0.662860113842687,-11.9023655509528,20.262399683269,-27.7516385288076,19.7743991699647,-27.300196305386,7.52415923598002,-11.9253114410677,8.68416339050818
42,42,738084.759379312,-0.16,0.05,-25.4487964475213,-6.02363228242555,19.5315015763405,17.6269550121722,-1.33837758717006,-11.0110768345412,7.87634487257887,-26.8571033083325,7.40873389675326,-26.4362281008101,-4.85350148564183,-11.0324068609275,-3.71270591239018
43,43,738084.759379455,-0.16,0.065,-25.6606351634735,-4.66821456413074,19.5304320032653,17.6365481381699,-1.39084306864863,-11.1071737203266,8.48919885917734,-26.9548145244238,8.02060421195306,-26.532465263877,-4.24224387270641,-11.1286272918637,-3.10037733703622
44,44,738084.759379569,-0.16,0.08,-25.8564478037476,-3.29373805703849,19.5301824736245,17.6387877079311,-1.44409316791961,-11.1956560659295,9.11068908407684,-27.0447978365903,8.64108516343662,-26.6209467437124,-3.62226518280417,-11.2172274978249,-2.47932512833702
45,45,738084.759379662,-0.16,0.095,-26.0352936484076,-1.90231844774384,17.6334208701591,19.530780545512,0.0729372953296278,-11.2760769818158,9.73979489148712,-27.1265993116144,9.26915736942502,-26.7012209000836,-2.99457998487199,-11.297760144082,-1.85056606432697
46,46,738084.759379782,-0.16,0.11,-26.1962973987915,-0.496235118796354,17.6202338702549,19.5322516381322,0.0189406834363509,-11.3480216256831,10.3754176166045,-27.1997975304523,9.90372362464175,-26.7728688344223,-2.36028118388198,-11.3698099642726,-1.21519533482824
47,47,738084.759379873,-0.16,0.125,-26.3386614120973,0.9220843069232,17.5990563653174,19.5346187540564,-0.0349944844579284,-11.4111131432472,11.0163882705627,-27.2640096214209,10.5436165790967,-26.8355104074819,-1.72053241269719,-11.4329997067637,-0.574378912773825
48,48,738084.759379961,-0.16,0.14,-26.4616772621907,2.35008259133204,17.569765191835,19.5379022148355,-0.0885783994913865,-11.4650182727122,11.6614767698978,-27.3188969523687,11.1876079580863,-26.8888099116409,-1.07655887651919,-11.4869957445501,0.0706556238715697
49,49,738084.759380079,-0.16,0.155,-26.5647363061884,3.78509441460229,19.5421194158356,17.5322874563002,1.42926332845182,-11.5094524557516,12.309402577553,-27.3641703222133,11.8344191904572,-26.9324812384686,-0.429636780916004,-11.5315131912846,0.7186296879746
50,50,738084.75938017,-0.16,0.17,-26.6473389512115,5.22437044034202,19.5472846048584,17.4866028354854,1.37719594379174,-11.5441843047378,12.9588465678657,-27.3995944992544,12.4827332577264,-26.9662923893465,0.218918470958429,-11.5663203729129,1.36822551047476
51,51,738084.75938026,-0.16,0.185,-26.7091023422474,6.66510344088168,19.5534086900507,17.4327449928422,1.32624663218614,-11.5690392899449,13.6084638780544,-27.4249919678363,13.131207526828,-26.9900691912363,0.867765076275554,-11.5912425191398,2.01809896415929
52,52,738084.75938035,-0.16,0.2,-26.7497662339797,8.10445591821724,19.5604990820424,17.3708020464852,1.27661428065364,-11.5839025311349,14.2568974664841,-27.440245765933,13.7784872871267,-27.0036981008242,1.51554834745056,-11.6061645580966,2.66689310321653
53,53,738084.759380468,-0.16,0.215,-26.7691968651589,9.53958859416118,19.568559573056,17.300916056423,1.228462959112,-11.5887206045631,14.9027920661791,-27.4453013232529,14.4232196806255,-27.007128007398,2.16091463383786,-11.6110329259102,3.3132521093908
54,54,738084.759380557,-0.16,0.23,-26.7673887146951,10.9676891032392,19.5775902572882,17.2232815306403,1.18192108385509,-11.5835023077445,15.5448082028181,-27.4401672412362,15.0640676951357,-27.0003709766625,2.80252532036794,-11.6058563331163,3.95583531357446
