target_x,target_y,gaze_x,gaze_y,error_px_x,error_px_y,error_px_xy,error_deg_x,error_deg_y,error_deg_xy
100,100,130.139268413878,11.7502562649788,30.1392684138776,-88.2497437350212,93.2544517426416,1.06198411497974,-3.10888479966213,3.28509795486894
386,100,235.60506620707,116.103106862611,-150.39493379293,16.1031068626111,151.254574017477,-5.2956787068417,0.567418999511434,5.32590475159264
672,100,740.023383366193,187.356461331932,68.023383366193,87.3564613319315,110.717351941876,2.39658397256809,3.0774312219498,3.89983044433875
958,100,1126.62304917054,198.561509524153,168.623049170535,98.5615095241527,195.315395888927,5.93643786218584,3.47193969365828,6.87405264107709
1244,100,1486.60174869087,170.992609965828,242.601748690871,70.9926099658278,252.775709152657,8.53272936420364,2.50116254395402,8.88916029717136
1530,100,1823.91668756897,138.387598020619,293.916687568968,38.3875980206187,296.412933107358,10.328652253131,1.35259730085096,10.4158935247409
1816,100,1716.49048967407,46.000990988989,-99.5095103259262,-53.999009011011,113.216763862411,-3.50531335595347,-1.90258307362825,3.98779770113955
100,320,-140.385721158695,410.159542325131,-240.385721158695,90.1595423251309,256.737293764001,-8.45507165616728,3.17612959119075,9.02790282581516
386,320,261.533861188301,500.536016849134,-124.466138811699,180.536016849134,219.283088929457,-4.38366180326763,6.35500723322583,7.71517840406178
672,320,729.257790956736,512.432697204598,57.2577909567356,192.432697204598,200.77050973358,2.01737886196907,6.77283500720431,7.06556368559517
958,320,1088.77715032352,499.925215494062,130.777150323521,179.925215494062,222.4314416114,4.60570028973123,6.33355038855296,7.82560727160746
1244,320,1437.09243082211,476.705307518948,193.092430822112,156.705307518948,248.678990357851,6.79600058608601,5.5175420485032,8.74565763617463
1530,320,1777.39444096456,490.232827435968,247.394440964561,170.232827435968,300.305219663281,8.70065588171924,5.99300791492946,10.5519008346839
1816,320,2011.93466089014,404.367646095225,195.934660890144,84.3676460952245,213.326723702833,6.89579494622565,2.9721879972341,7.50621904233647
100,540,-134.718694014275,733.771686142365,-234.718694014275,193.771686142365,304.368742925784,-8.25644307559213,6.8198510598829,10.6938598226729
386,540,313.733017401274,780.724332782579,-72.2669825987263,240.724332782579,251.337862582506,-2.54604571486447,8.46693835105511,8.83879758512646
672,540,970.097804212147,719.27222399293,298.097804212147,179.27222399293,347.851737341464,10.4747712385903,6.31061095430019,12.2107902040815
958,540,1100.78053875778,824.071610497956,142.780538757777,284.071610497956,317.935468513445,5.02791516593281,9.9844605885929,11.1675719643518
1244,540,1425.18794758561,833.677822026199,181.187947585612,293.677822026199,345.073521876626,6.37790842001834,10.3203035115606,12.1139931615452
1530,540,1718.35775884495,802.522431899163,188.35775884495,262.522431899163,323.104739314271,6.6297373077358,9.23046205787107,11.3479686446493
1816,540,1941.30807463037,703.421472907713,125.308074630373,163.421472907713,205.933706262228,4.41328532705685,5.75362691376221,7.24679009764231
100,760,-58.5216071708194,920.244862578886,-158.521607170819,160.244862578886,225.405226032906,-5.58139284067997,5.64196951932433,7.92989977156709
386,760,374.359610308003,1023.02470050577,-11.6403896919967,263.024700505768,263.282152354334,-0.410169547036881,9.24804564365006,9.2570584341197
672,760,743.412541993482,1064.15815100438,71.4125419934823,304.158151004378,312.429083115469,2.51595255858106,10.6865036090849,10.9753496166805
958,760,1109.88089855633,1065.52263869444,151.880898556333,305.52263869444,341.191866991423,5.34792665301415,10.7341651340448,11.9787216601579
1244,760,1413.4315856611,1028.15557709824,169.431585661104,268.155577098241,317.197849533263,5.96485142598599,9.42764392708803,11.1418260643655
1530,760,1657.02522573685,961.758360201742,127.025225736847,201.758360201742,238.415276114583,4.4737014797528,7.10023966104391,8.38601351889449
1816,760,1887.67628673076,835.791402494775,71.6762867307577,75.791402494775,104.315994802498,2.52524161080607,2.670171028117,3.67451279172817
100,980,196.37680039194,861.071932574519,96.3768003919404,-118.928067425481,153.076362889075,3.395026401432,-4.18879025534749,5.38995871135766
386,980,532.869418570788,898.330732650077,146.869418570788,-81.6692673499227,168.049086105204,5.17170943441421,-2.87716741253717,5.91626722665241
672,980,881.00651566693,792.553524133279,209.00651566693,-187.446475866721,280.748828859684,7.35462747587161,-6.59773336247111,9.8682524298223
958,980,984.436585303317,734.544019200069,26.4365853033166,-245.455980799931,246.875538587677,0.9315229095658,-8.63274051580871,8.6824763566928
1244,980,1287.70392141732,701.551637911676,43.7039214173217,-278.448362088324,281.857274337424,1.53989820066324,-9.787785911491,9.90702053948514
1530,980,1491.71848884274,799.075217309607,-38.2815111572645,-180.924782690393,184.93039525197,-1.34885964755104,-6.36866395870501,6.50936414017308
1816,980,1710.78348478111,822.739199731698,-105.216515218888,-157.260800268302,189.212775403336,-3.70621144501658,-5.53707038815197,6.65976425429087
