experiment,eye_id,error_deg_x,error_deg_y,error_deg_xy
0,0,0.5022038015714675,0.5264211466604812,0.8106745392262102
1,1,0.7021697230228893,0.455771141206997,0.9112094664364013
2,0,0.6071044455123692,0.5402524740899753,0.8833795462234065
3,1,0.5721542371570467,0.3982677075596982,0.7562186759500122
4,0,0.4069099419712458,0.4964075003430161,0.7067553988037677
6,0,0.548455834372433,0.5584873260892808,0.8627120901484365
7,1,0.5865983095852554,0.4430291911386992,0.806335842494288
8,0,0.6701114401557674,0.5278978578336202,0.9131321984543382
9,1,0.722871433353129,0.520368643939607,0.9693871058171538
10,0,0.4337201061089676,0.34588668247177945,0.6302665466202337
11,1,0.49911629123831036,0.4909629154269862,0.7547389122494688
12,0,0.43157912822982286,0.4700076055916063,0.7062844553635756
13,1,0.45472461179052315,0.4157499795019116,0.6886359805591503
14,0,0.5871130960549213,0.6661712650832007,1.0403986500551892
15,1,0.6225229242005407,0.581637184068411,0.9461704921835886
16,0,0.6566946661538658,0.816622193119399,1.15829041309496
17,1,0.5141505714958284,0.622271808218421,0.8867644209465045
18,0,0.5612304928170538,0.4928458938278112,0.8206787032070605
19,1,0.7001213065149419,0.6294457808161686,1.0523779209298636
20,0,0.486416515990498,0.45637330398427495,0.7393636220852912
21,1,0.6256646050980307,0.49558058747142775,0.8600275490114582
22,0,0.6704304814898241,0.486538461222998,0.9275962358447056
25,1,0.8667674148411286,0.6879083069223424,1.2451289095463711
26,0,0.6254444936661613,0.4952056188709922,0.8887767139744125
29,1,0.422844633670004,0.6094717992104779,0.812625386058337
30,0,0.6038710868625328,0.4342436526046103,0.8276987256442361
31,1,0.5463543719666193,0.4966404884582151,0.8227617542695015
32,0,0.6194226662077463,0.4950917822969909,0.8940375595438572
33,1,0.9219734254534235,0.5984336096738629,1.2240387447781564
34,0,0.6512467389447322,0.6709424154021475,1.0735835191467291
35,1,0.7324124070411523,0.6752344925274031,1.1239517826247363
36,0,0.7536381282263536,0.5218737439527615,0.9976894404303435
37,1,0.6857660063076985,0.5106479247491597,0.950760973682466
38,0,0.6694639840324026,0.5940620845722574,0.9951420318822548
39,1,0.5958202611660626,0.5033467576750805,0.8533294293704767
40,0,0.6041016372577434,0.4428219138566615,0.8326481945967534
41,1,0.5528435507531423,0.5275427296162187,0.8854041664312955
43,1,0.5224210280324586,0.38235182845042504,0.7071762789487204
46,0,0.4358568961734666,0.46819275475330135,0.6951661068966696
48,0,0.5604707511634894,0.5666853817949996,0.8701730139220262
49,1,0.4612515563725343,0.4237028498648098,0.7056385300519626
52,0,0.9054770385539805,0.4878660088733619,1.0900030604226616
53,1,0.5031121257259729,0.6173823283307089,0.8615290063987213
56,0,0.4602472030812048,0.5674206976809569,0.8083373961985206
57,1,0.43400377060221346,0.6507782115420155,0.8623712111056059
59,1,0.5708105129915882,0.4492210929081408,0.7848407279099407
60,0,0.5042673136240804,0.5039310595306365,0.8215557278402756
61,1,0.4071469688351863,0.5121429096751408,0.7144494965329762
63,1,0.5992555172429496,0.7736575971510418,1.0551158500299398
64,0,0.6015806985460826,0.6832157660391079,1.0040035297462744
65,1,0.5404854012369033,0.6886413556498793,0.9649059571456803
66,0,0.5417343215173621,0.49489634705599145,0.8051278041666187
67,1,0.46055538473881646,0.4873348192555929,0.7484868921441289
68,0,0.4102000862246624,0.4428898994112861,0.6767351823638283
69,1,0.533284685290675,0.36554893151124257,0.7311502451846371
70,0,0.4598858331559581,0.49187292751147627,0.7516883537671913
71,1,0.4768128021406236,0.515903794898528,0.7738446989276225
72,0,0.6604798518391009,0.5173218021951902,0.9516409717075892
74,0,0.5271216082380112,0.4816511768046077,0.819505923636173
76,0,0.42396831173936095,0.4536640714129135,0.6927379800197949
77,1,0.5521015051016791,0.4339788146110378,0.7570328500710402
78,0,0.6452078731980415,0.8525375991390279,1.233311100961415
79,1,0.42817658061096403,0.45320118546939514,0.6777584141287467
80,0,0.7133737102327277,0.7825636426960214,1.193120939880332
81,1,0.5304019164971946,0.6244513261845583,0.9119816443904628
84,0,0.45608790930127124,0.36686596422968154,0.6614681658485684
85,1,0.5237915158784007,0.6173338473093981,0.8872946493771812
86,0,0.5553908745362465,0.6985654647824265,0.9874115789230106
87,1,0.571513781003365,0.7352212309937047,1.05129862340605
88,0,0.8071102869203347,0.6125763172401373,1.137243913539107
89,1,0.8136409852603343,0.6580620154380392,1.1411438950053892
90,0,0.3666489135085001,0.357632130684409,0.603126124674592
91,1,0.5575003780771437,0.40423929455460894,0.7733111286787661
92,0,0.4850286374082985,0.5973078336721235,0.8464059422079474
93,1,0.49644209897809954,0.4621586883951646,0.7303468895029211
94,0,0.4932629349852322,0.7589452903197447,1.0226365482220572
95,1,0.5310535473959885,0.6474350232637238,0.9530536893231292
96,0,0.6350797958276251,0.5292405765072269,0.9455920522262724
99,1,0.4715336068978913,0.4689200117524635,0.7367722310507899
100,0,0.46586348255838467,0.3836476685622741,0.687300868264358
101,1,0.6735166514036551,0.4512490913488363,0.8837393032063174
102,0,0.8352010474930746,0.5468083942673241,1.082134504243801
103,1,0.8469166360033733,0.6270813025299018,1.1315303785294364
104,0,0.6422879869780859,0.4169406540382311,0.8448458243259759
105,1,0.5290492053640939,0.4442928095886514,0.7563699663634547
106,0,0.6613205447106829,0.6764281216728014,1.0527363451557055
107,1,0.574648863272845,0.6320991156435013,0.9408471318260874
108,0,0.7580164973604954,0.49531313341487465,1.0081077154997238
109,1,0.6590502231111282,0.5603630368864077,0.9540334711328821
110,0,0.8748197816881554,0.6096563143897685,1.1515408403163132
111,1,0.742375315727803,0.6618748868985233,1.086302155742535
112,0,0.5310045676053775,0.49309316723214025,0.7866900553815157
113,1,0.5164621702799304,0.5379186773391776,0.8396228523204193
114,0,0.674908141302427,0.6651648683979451,1.0474815838347982
116,0,0.7324729542741932,0.6155095781682,1.055461010787932
117,1,0.6956308913651262,0.576616834366931,1.0077343131343703
118,0,0.5681454225584385,0.4103984917474799,0.777646440931742
120,0,0.41237423392027367,0.4265194772277406,0.6630912412122981
121,1,0.43215196005821954,0.4697389460593318,0.7256924534574664
122,0,0.721359020794672,0.7885520453946008,1.1844919588507976
123,1,0.5482652207510077,0.5793924066187094,0.8590394001798213
126,0,0.4190684685053663,0.475762839000543,0.700930437109662
127,1,0.4698824279778492,0.5699597250376405,0.8227541251800926
128,0,0.5427274681669145,0.30129667819626066,0.6820778274165833
129,1,0.6363298186105416,0.3673365931262359,0.8273401816781256
130,0,0.8249689855503437,0.6242199891334388,1.1311873205832808
131,1,0.9859827811522834,0.6347719171055867,1.2735500131653006
132,0,0.6087923272711708,0.5805949420081525,0.9360257773975801
133,1,0.761139581175829,0.8807231249973709,1.28583615116625
137,1,0.5093622717006203,0.6283721957855364,0.9127585747176141
138,0,0.4823840940443107,0.75239087022747,0.9823727466459301
140,0,0.5728440766165437,0.7284250458822951,1.0173840902518896
141,1,0.5561217031556545,0.32735219225060785,0.6902253323066598
142,0,0.6499780600445664,0.5943755718297693,0.9590894048026948
143,1,0.728521104220678,0.7634975393040245,1.1645489781199327
144,0,1.0553306619640477,0.819928392496916,1.4839581949985898
145,1,0.5817882921483323,0.6425217682681552,0.9728698076607103
146,0,0.7296646068928924,0.6099331967296413,1.0829527422453045
149,1,0.6599340371504652,0.574632123804105,0.9802222721226518
150,0,0.7118935568254708,0.6580409405969246,1.097771105678833
152,0,0.572965860265605,0.7110943727702507,1.0228732748720613
153,1,0.717721686951764,0.8816986151812408,1.2741146412382514
154,0,0.7667631823192682,0.6573525196210559,1.1146093866185787
155,1,0.5056551140706377,0.5519976304427895,0.8225502973051441
156,0,0.5037816848858033,0.4799213312622459,0.7901605177513895
157,1,0.506286265921151,0.3438537819726795,0.6711854801021981
158,0,0.4876975065119167,0.4483407304896062,0.7631631713843006
159,1,0.5288047099677823,0.6143187190028598,0.8834112092634737
160,0,0.5914383930561166,0.6247872117036174,0.9542473559454172
161,1,0.7003434270446094,0.5820653461379276,1.0375039111827535
162,0,0.6079253639338905,0.6430743902490373,0.98030863610047
163,1,0.6312229832256677,0.47993362756786767,0.9108546069183233
165,1,0.5483731024781638,0.499756078062272,0.8781360505471143
