x,y
-6.907802375919692,1.7920010989960762e-22
-6.893082808080128,2.1856902642755524e-22
-6.878363240240564,2.6647947812015986e-22
-6.8636436724009995,3.2476089211856895e-22
-6.848924104561434,3.956293363822253e-22
-6.83420453672187,4.817681161665408e-22
-6.819484968882306,5.864249330218754e-22
-6.804765401042742,7.135289598794439e-22
-6.790045833203178,8.678318544486633e-22
-6.7753262653636135,1.0550775330105221e-21
-6.760606697524049,1.2822064830732566e-21
-6.745887129684485,1.5576015363734036e-21
-6.73116756184492,1.8913833891738773e-21
-6.716447994005356,2.2957657872892434e-21
-6.701728426165792,2.78548223932486e-21
-6.6870088583262275,3.378298443286986e-21
-6.672289290486663,4.095627380265098e-21
-6.657569722647099,4.9632673288446424e-21
-6.642850154807535,6.012286985508108e-21
-6.62813058696797,7.28008655834207e-21
-6.613411019128406,8.811669274613083e-21
-6.5986914512888415,1.0661164373879266e-20
-6.583971883449277,1.2893650544497401e-20
-6.569252315609713,1.5587338136006122e-20
-6.554532747770149,1.8836179618860395e-20
-6.539813179930585,2.275299099240311e-20
-6.525093612091021,2.747318254711667e-20
-6.5103740442514555,3.3159216022885444e-20
-6.495654476411891,4.0005927308222876e-20
-6.480934908572327,4.8246880029415025e-20
-6.466215340732763,5.816194643019212e-20
-6.451495772893199,7.00863487220484e-20
-6.436776205053635,8.442143762945863e-20
-6.42205663721407,1.0164753638406758e-19
-6.407337069374506,1.2233923937413296e-19
-6.392617501534941,1.4718362672064972e-19
-6.377897933695377,1.770019412168653e-19
-6.363178365855813,2.1277537466949576e-19
-6.348458798016249,2.556757294614319e-19
-6.333739230176684,3.0710186133885383e-19
-6.31901966233712,3.6872297479190336e-19
-6.304300094497556,4.425300373815392e-19
-6.289580526657991,5.308968091676876e-19
-6.274860958818427,6.366522541076165e-19
-6.260141390978863,7.631664190592286e-19
-6.245421823139298,9.144522411975538e-19
-6.230702255299734,1.095286186016265e-18
-6.21598268746017,1.3113511370799884e-18
-6.201263119620606,1.569405568691398e-18
-6.186543551781041,1.8774837492729892e-18
-6.171823983941477,2.2451325647888226e-18
-6.157104416101912,2.6836915392658236e-18
-6.142384848262348,3.2066237882817514e-18
