x,y
-9.889626125813995,1.6269047769945254e-36
-9.868161012335902,2.2754977219767523e-36
-9.846695898857808,3.180463937416461e-36
-9.825230785379715,4.442263807007052e-36
-9.80376567190162,6.200375848583501e-36
-9.782300558423527,8.648314724554316e-36
-9.760835444945434,1.2054376600831862e-35
-9.73937033146734,1.6790275605405534e-35
-9.717905217989246,2.3370644767539279e-35
-9.696440104511154,3.250748443350246e-35
-9.67497499103306,4.5185160794713743e-35
-9.653509877554967,6.27636368209488e-35
-9.632044764076873,8.712046186181228e-35
-9.61057965059878,1.2084593252056802e-34
-9.589114537120686,1.675111442810218e-34
-9.567649423642592,2.3203589471398537e-34
-9.546184310164499,3.2119327283051225e-34
-9.524719196686405,4.443012223666289e-34
-9.503254083208311,6.141696837095009e-34
-9.481788969730218,8.483968399088418e-34
-9.460323856252124,1.1711418727986242e-33
-9.43885874277403,1.6155476633025003e-33
-9.417393629295937,2.2270493550064955e-33
-9.395928515817843,3.067889463926046e-33
-9.37446340233975,4.223275119192177e-33
-9.352998288861656,5.809768660497065e-33
-9.331533175383564,7.986713488309383e-33
-9.31006806190547,1.0971782009091716e-32
-9.288602948427377,1.506211764456875e-32
-9.267137834949283,2.0663063020479004e-32
-9.24567272147119,2.832716843585725e-32
-9.224207607993096,3.880712141220452e-32
-9.202742494515002,5.312751390141504e-32
-9.181277381036908,7.2682081719582e-32
-9.159812267558815,9.936536254686325e-32
-9.138347154080721,1.357508273312828e-31
-9.116882040602627,1.8533171666187506e-31
-9.095416927124534,2.5284642159739617e-31
-9.07395181364644,3.4471777241704686e-31
-9.052486700168346,4.696456860226686e-31
-9.031021586690253,6.394061365650074e-31
-9.009556473212161,8.699275049312608e-31
-8.988091359734067,1.1827395634906806e-30
-8.966626246255974,1.606922702426585e-30
-8.94516113277788,2.1817282152651e-30
-8.923696019299786,2.9600981378864734e-30
-8.902230905821693,4.0133900629552496e-30
-8.880765792343599,5.4377148800144204e-30
-8.859300678865505,7.362431939090741e-30
-8.837835565387412,9.961527855856643e-30
-8.816370451909318,1.3468846834333797e-29
-8.794905338431224,1.8198461510660657e-29
-8.77344022495313,2.4571899736495493e-29
-8.751975111475037,3.3154508524485903e-29
-8.730509997996943,4.470398657904748e-29
-8.70904488451885,6.023511079206685e-29
-8.687579771040756,8.110599802027023e-29
-8.666114657562662,1.0913298438920023e-28
-8.644649544084569,1.4674350583375543e-28
-8.623184430606477,1.9717940380903502e-28
-8.601719317128383,2.6476709324488774e-28
-8.58025420365029,3.5527632328683836e-28
-8.558789090172196,4.763962384481774e-28
-8.537323976694102,6.383666371397891e-28
-8.515858863216009,8.548144186018324e-28
-8.494393749737915,1.1438611143666257e-27
-8.472928636259821,1.5295883019011206e-27
-8.451463522781728,2.043975145133604e-27
-8.429998409303634,2.7294583221345344e-27
-8.40853329582554,3.642311824032818e-27
-8.387068182347447,4.8571059832356615e-27
-8.365603068869353,6.472586097645772e-27
-8.34413795539126,8.619416999144677e-27
-8.322672841913166,1.1470378464229423e-26
-8.301207728435074,1.525377735525775e-26
-8.27974261495698,2.0271078636370505e-26
-8.258277501478887,2.692006557341849e-26
-8.236812388000793,3.5725241089018576e-26
-8.2153472745227,4.737770537724786e-26
-8.193882161044606,6.2787425713511e-26
-8.172417047566512,8.315169979819735e-26
-8.150951934088418,1.1004476455429474e-25
-8.129486820610325,1.4553499635991865e-25
-8.108021707132231,1.923380873203236e-25
-8.086556593654137,2.540170957652935e-25
-8.065091480176044,3.352435257727096e-25
-8.04362636669795,4.421378066470092e-25
-8.022161253219856,5.827129975292673e-25
-8.000696139741763,7.674525929717422e-25
-7.97923102626367,1.010062412777108e-24
-7.957765912785576,1.3284483148435366e-24
-7.936300799307483,1.7459866316463208e-24
-7.914835685829389,2.2931737717097253e-24
-7.893370572351295,3.009766592639766e-24
-7.8719054588732025,3.947557536497225e-24
-7.850440345395109,5.173970160936176e-24
-7.828975231917015,6.77671420714339e-24
-7.8075101184389215,8.869808046896857e-24
-7.786045004960828,1.1601364493695097e-23
-7.764579891482734,1.51636489630177e-23
-7.7431147780046405,1.9806063725006473e-23
-7.721649664526547,2.5851897294356324e-23
-7.700184551048453,3.371991502264625e-23
-7.67871943757036,4.3952169903201514e-23
-7.657254324092266,5.724979951055823e-23
-7.635789210614172,7.451906877412129e-23
-7.6143240971360795,9.693054796701049e-23
-7.592858983657986,1.25995117671991e-22
-7.571393870179892,1.6366151415558955e-22
-7.5499287567017985,2.1244142848122227e-22
-7.528463643223706,2.7556982533465872e-22
-7.506998529745612,3.572102470428286e-22
-7.4855334162675184,4.627175334382609e-22
-7.464068302789425,5.989737688839732e-22
-7.442603189311331,7.748175527381766e-22
-7.4211380758332375,1.001592116556018e-21
-7.399672962355144,1.2938446795356394e-21
-7.37820784887705,1.6702181192002015e-21
-7.3567427353989565,2.154587009506537e-21
-7.335277621920863,2.7775039365039216e-21
-7.313812508442769,3.578039486116526e-21
-7.2923473949646755,4.6061213417248786e-21
-7.270882281486583,5.925505698236016e-21
-7.249417168008489,7.617549154789317e-21
-7.2279520545303955,9.785993216175609e-21
-7.206486941052302,1.2563028794643242e-20
-7.185021827574209,1.611697750653318e-20
-7.163556714096115,2.0662013653758535e-20
-7.142091600618022,2.6470459994778753e-20
-7.120626487139928,3.3888327255377364e-20
-7.099161373661834,4.3354938664591846e-20
-7.077696260183741,5.542769515249491e-20
-7.056231146705647,7.081330480705449e-20
-7.0347660332275535,9.040713490576804e-20
-7.01330091974946,1.1534276262256313e-19
-6.991835806271366,1.4705432157233284e-19
-6.9703706927932725,1.8735489072139918e-19
-6.948905579315179,2.385349808279093e-19
-6.927440465837085,3.034861797645218e-19
-6.905975352358992,3.858562691074546e-19
-6.884510238880899,4.902436786219149e-19
-6.863045125402805,6.224410747228208e-19
-6.841580011924711,7.897402723528997e-19
-6.820114898446619,1.0013136262277647e-18
-6.798649784968525,1.2686907314347384e-18
-6.777184671490431,1.606353810136828e-18
-6.755719558012338,2.032480783538533e-18
-6.734254444534244,2.569871975344767e-18
-6.71278933105615,3.2471049700722417e-18
-6.691324217578057,4.0999727309314365e-18
-6.669859104099963,5.17327312568269e-18
-6.648393990621869,6.523034075258451e-18
-6.626928877143776,8.219278313959698e-18
-6.605463763665682,1.0349456068144558e-17
-6.5839986501875885,1.302270384323591e-17
-6.562533536709496,1.6375124201051154e-17
-6.541068423231402,2.057632642697315e-17
-6.519603309753308,2.5837523174708366e-17
-6.498138196275215,3.2421545779705494e-17
-6.476673082797122,4.065522367809499e-17
-6.455207969319028,5.0944674567800093e-17
-6.433742855840935,6.379417561975028e-17
-6.412277742362841,7.982943705975239e-17
-6.390812628884747,9.982628369362864e-17
-6.369347515406654,1.2474597457726378e-16
-6.34788240192856,1.5577866466924027e-16
-6.326417288450466,1.943968453728646e-16
-6.304952174972373,2.4242100596160933e-16
-6.283487061494279,3.021002501657396e-16
-6.262021948016185,3.7621119996885216e-16
-6.240556834538092,4.681792439434817e-16
-6.219091721059998,5.822270667379647e-16
-6.197626607581905,7.235564614561789e-16
-6.176161494103812,8.98570715890913e-16
-6.154696380625718,1.1151464227693268e-15
-6.133231267147624,1.3829654483621669e-15
-6.111766153669532,1.7139200688994837e-15
-6.090301040191438,2.1226070291008166e-15
-6.068835926713344,2.626929586087209e-15
-6.047370813235251,3.2488305876899454e-15
-6.025905699757157,4.015184431232484e-15
-6.004440586279063,4.958881517691939e-15
-5.98297547280097,6.1201457479529295e-15
-5.961510359322876,7.548133930309767e-15
-5.940045245844782,9.30287595228457e-15
-5.918580132366689,1.145762653709609e-14
-5.897115018888595,1.4101713738006303e-14
-5.875649905410502,1.7343986475819918e-14
-5.854184791932409,2.131698393366825e-14
-5.832719678454315,2.6181974125640463e-14
-5.811254564976221,3.213503820537516e-14
-5.789789451498128,3.941441196823991e-14
-5.768324338020034,4.830933757859428e-14
-5.74685922454194,5.917072806374686e-14
-5.725394111063847,7.242400602304935e-14
-5.703928997585754,8.858454802924388e-14
-5.68246388410766,1.0827624938028198e-13
-5.660998770629567,1.3225382258110955e-13
-5.639533657151473,1.6142956000178013e-13
-5.618068543673379,1.9690542986366102e-13
-5.596603430195286,2.4001153891120237e-13
-5.575138316717192,2.923521893575683e-13
-5.553673203239098,3.558609872449278e-13
-5.5322080897610055,4.328667304289206e-13
-5.510742976282912,5.261721242196576e-13
-5.489277862804818,6.391477497376703e-13
-5.467812749326725,7.758441541265938e-13
-5.446347635848631,9.411254543867612e-13
-5.424882522370537,1.1408284611208452e-12
-5.403417408892444,1.3819520504588332e-12
-5.38195229541435,1.6728823599154835e-12
-5.360487181936257,2.02366037789431e-12
-5.3390220684581635,2.4462996613010417e-12
-5.31755695498007,2.9551632794344837e-12
-5.296091841501976,3.5674106775902834e-12
-5.2746267280238825,4.3035270183431455e-12
-5.253161614545789,5.187949735824139e-12
-5.231696501067695,6.2498095787488506e-12
-5.210231387589602,7.523806379439216e-12
-5.188766274111509,9.051243235379008e-12
-5.167301160633415,1.0881246803773882e-11
-5.1458360471553215,1.3072206076466075e-11
-5.124370933677228,1.5693467423817352e-11
-5.102905820199134,1.8827329988172113e-11
-5.0814407067210405,2.2571392803637842e-11
-5.059975593242947,2.7041313471870033e-11
-5.038510479764853,3.2374048008002246e-11
-5.01704536628676,3.873165278641544e-11
-4.995580252808667,4.630574259051768e-11
-4.974115139330573,5.532271386390862e-11
-4.9526500258524795,6.604985966816404e-11
-4.931184912374386,7.880252291176098e-11
-4.909719798896292,9.395245750813936e-11
-4.8882546854181985,1.1193759368327867e-10
-4.866789571940105,1.332734341774504e-10
-4.845324458462011,1.5856634313071663e-10
-4.823859344983918,1.8852902963955335e-10
-4.802394231505825,2.239985740376743e-10
-4.780929118027731,2.659573976950568e-10
-4.7594640045496375,3.1555763745634334e-10
