experiment,eye_id,error_deg_x,error_deg_y,error_deg_xy
0,0,0.5053946979133659,0.521114417325541,0.8167810430770174
1,1,0.7028170362124213,0.48578796139500713,0.9266744145964753
2,0,0.6182973855593308,0.5514156093944518,0.9067222273021086
3,1,0.5724703579459222,0.37830249061400295,0.750298260502024
4,0,0.4089887931118145,0.4855588582563746,0.6988311538604872
6,0,0.5533303334619945,0.5454093110199261,0.8571603466621707
7,1,0.5758286550712806,0.4454127564323617,0.8002238271943846
8,0,0.6690368169506676,0.538583512820163,0.915279315434484
9,1,0.725005466576173,0.5313606402848791,0.9713358852636621
10,0,0.43035424533931743,0.351645187471465,0.6342329804203183
11,1,0.4998077360473912,0.48482497387609486,0.7517273327415002
12,0,0.42656253962771423,0.48010444108948663,0.7096287635313421
13,1,0.4553348632779686,0.42805174322917683,0.698613555035888
14,0,0.5967350322026607,0.6683020279819331,1.0468981493739316
15,1,0.627274687444725,0.5744285588397494,0.9437831299749709
16,0,0.650152791910583,0.7832506575985442,1.1356444088796311
17,1,0.5084436521230761,0.5965838656130713,0.8773563198671416
18,0,0.5674382824457911,0.4841916288908915,0.8205029739620004
19,1,0.7058598958344344,0.6112175874861747,1.042585963805962
20,0,0.492237933271854,0.4526138071715568,0.7334941296363693
21,1,0.623000085658892,0.48997470438996404,0.8523055305670502
22,0,0.6711785898796296,0.48676255616422953,0.9397318399714759
25,1,0.8604909675061629,0.7213350152674594,1.2589698739542465
26,0,0.6293956997956154,0.5083460009539722,0.8944713850483593
29,1,0.425098040199979,0.5809148674172766,0.7956758715548291
30,0,0.6106331589298122,0.446145862712257,0.8443501657499497
31,1,0.5485218130455161,0.5073560256410963,0.8285155059504151
32,0,0.6248420111676379,0.45779935733781735,0.8746570079890696
33,1,0.930877928942891,0.574402379025773,1.2149565594093443
34,0,0.6685202092863639,0.6942658312435838,1.1018024099658088
35,1,0.7404413493603389,0.6829849171906724,1.138941186831182
36,0,0.7521512728943367,0.5209634719074331,0.9984434749410377
37,1,0.6877695421081642,0.5126620292025094,0.9531496575197492
38,0,0.6745706098243776,0.5770931947470127,0.9887423429817228
39,1,0.5939248580866946,0.5263302509988342,0.8691433378111281
40,0,0.6096007646984369,0.46614083323279565,0.8561817258056131
41,1,0.5555482986052542,0.5634176020782691,0.9102357263973972
43,1,0.5204744263681206,0.37587570050030966,0.7072432836570677
46,0,0.4258212590858795,0.4686545570358134,0.6858083163911124
48,0,0.5602403939342007,0.5411038465726646,0.8556907111020012
49,1,0.4600246505302325,0.4224107749202447,0.7101420812829697
52,0,0.9084031506284262,0.5000816003391408,1.0994280523139848
53,1,0.5158648095807354,0.6285318462294972,0.8805776210275562
56,0,0.4660133995023675,0.5480056024881098,0.7965349057457506
57,1,0.4400340612173845,0.6752778827010947,0.8823365966214286
59,1,0.5743692191790942,0.44832162492796984,0.7913289829470344
60,0,0.5114307902615999,0.5095582774179468,0.8314504688497277
61,1,0.40903639527346825,0.5054396362748057,0.7118221771023777
63,1,0.6050771583983167,0.7379604900657929,1.0339864742409708
64,0,0.6090478199555396,0.6907090166493631,1.0172720818750083
65,1,0.5472589365870972,0.6950636427167509,0.9718887457340317
66,0,0.5453276556181695,0.48374269293578404,0.8053292046437414
67,1,0.4662257942917105,0.4699778156377439,0.7397967881701482
68,0,0.41479435202515796,0.44780717074196136,0.6813464984477718
69,1,0.5312326832927086,0.35514370965515246,0.7285460282700316
70,0,0.462910209903386,0.48925990356520027,0.7515681409935812
71,1,0.47855803875957414,0.5097952869314266,0.7716798812565623
72,0,0.6726144555072439,0.5168896493768347,0.9609066143952296
74,0,0.5266449306115939,0.48474116260741074,0.8214629871310889
76,0,0.42361533608097357,0.4730434418259783,0.7072636071052923
77,1,0.5516541316586415,0.4416832328394951,0.7597312998847412
78,0,0.6441580868185506,0.8460660880215617,1.2302689505161624
79,1,0.4355868444377358,0.46726588442749983,0.6975323155430116
80,0,0.7176191877083208,0.7900305508677263,1.217064094729599
81,1,0.5316134104686752,0.6648274293916926,0.9378064911935374
84,0,0.4606272413783187,0.3674768381599751,0.669908997805362
85,1,0.527701001241308,0.606276292951908,0.8860779276701676
86,0,0.570230864077223,0.6866136576781142,0.9910148858912543
87,1,0.5861723915502284,0.7305619124087132,1.0539139744677541
88,0,0.8082705161658508,0.5917367824479753,1.1268074031486388
89,1,0.8174110138641316,0.6959745860050627,1.1649289027170648
90,0,0.37550639794405666,0.36136802750024727,0.6093337214732338
91,1,0.5581854863250388,0.40258757358806907,0.7701805830026391
92,0,0.49659766755554186,0.5989324626785946,0.8525637484018571
93,1,0.49672241039158554,0.4687820502890275,0.7363969722440092
94,0,0.5018069837514301,0.7887383724298888,1.0379925767160234
95,1,0.5318873807027802,0.657012516222742,0.9684992718828478
96,0,0.6471510986202913,0.581937362365772,1.0000301119128525
99,1,0.4713715813445189,0.495522541843435,0.7557860212875825
100,0,0.4744421907193974,0.4060205957850526,0.6996293849953236
101,1,0.6708524051921892,0.45042110956033615,0.8805918020928918
102,0,0.8359530552878277,0.547280211571898,1.082603973152231
103,1,0.8421985449446344,0.636955954711518,1.1339874264557794
104,0,0.6392238564162541,0.4228089081581048,0.8480153655563568
105,1,0.5346321109224473,0.4355587178013191,0.7548613078427433
106,0,0.6700773876774893,0.6914982111088223,1.0711194349986417
107,1,0.5769190283596137,0.6220509514712178,0.9383704245343081
108,0,0.7511674825012405,0.5067982292583819,1.0147235787437192
109,1,0.660332299055131,0.5720330752145398,0.9674542073960252
110,0,0.8852632609410858,0.5860658493420099,1.1493816341731773
111,1,0.7398025551705206,0.6593207661807907,1.086425201814017
112,0,0.5312372892101278,0.4987040162763928,0.792251497049344
113,1,0.5211955623831306,0.5370608919482249,0.8515844994637943
114,0,0.6703823937025835,0.6358762583630124,1.0262077927129942
116,0,0.7553493473115952,0.5778325419701831,1.0535837693806709
117,1,0.710938043214454,0.6018184897601379,1.0358282880164487
118,0,0.5726824037980838,0.4246178095072615,0.7860129480785208
120,0,0.4122183407988685,0.451369449815632,0.6835094174071025
121,1,0.430064617610411,0.4924905051510626,0.733060891563696
122,0,0.7495336635661453,0.7874834550429107,1.207093422884037
123,1,0.5513115823722723,0.5806275793822678,0.8633814713314726
