experiment,eye_id,error_deg_x,error_deg_y,error_deg_xy
0,0,0.46561075222027687,0.4794250087876386,0.7156726813986025
1,1,0.5696882837799946,0.39338121006857224,0.7600850557610745
2,0,0.6442572619875269,0.48270688034560294,0.8746445294447196
3,1,0.5175115282289694,0.33762021602494685,0.672444660956137
4,0,0.3642595049295873,0.3816388771336249,0.5816205874627978
6,0,0.5023976415372079,0.46254565171470513,0.7505375657683964
7,1,0.5156489352358513,0.34608221327503536,0.6832252707010744
8,0,0.7116851073610826,0.4160054595135877,0.8866381017316121
9,1,1.0489385869236796,0.607871795387061,1.29353438010561
10,0,0.438214448680426,0.30593694290164813,0.5878054885456322
11,1,0.40050678251438904,0.4952085276743225,0.6807816332780765
12,0,0.4393895905890389,0.4030471905066334,0.6737466543281342
13,1,0.42683160826196764,0.30011832706341923,0.57015416649998
14,0,0.5602440590841595,0.47788924742006134,0.8402991669851636
15,1,0.5368368029354956,0.406671786623985,0.7437356177551422
16,0,0.8630339809603291,0.6156867961500623,1.172562539407905
17,1,0.5935466206013207,0.5184280940099981,0.8795883942682884
18,0,0.5068564563358162,0.384843799209547,0.7011089628651157
19,1,0.6336345017579833,0.5156175884057481,0.9134430479771912
20,0,0.4532833903190513,0.3141128047508744,0.5962326096975405
21,1,0.5846322843712908,0.44396943327139105,0.8062727526030418
22,0,0.6231794508258492,0.38182248981885725,0.8148490062240146
25,1,0.946148215332037,0.6822936005806035,1.2671526451412103
26,0,0.6349136781857965,0.4882914214974301,0.8904235133635371
29,1,0.3833556957530873,0.45172995190519877,0.6619194028295654
30,0,0.46493539963225294,0.3124294090358349,0.5949599061814007
31,1,0.5921477443010512,0.39540991470169307,0.7747364786015712
32,0,0.5813003629560326,0.45521881212251875,0.8304642032071675
33,1,0.7431589955753662,0.42196034362230733,0.9402292701269385
35,1,0.7275366843673855,0.6295502310234763,1.0845329895145548
36,0,0.5596700231585341,0.4867859431783704,0.8037079723280205
37,1,0.6330485112534515,0.48459789803831166,0.8914154402817119
38,0,0.6331187033354857,0.6428954337004943,0.9944603086127255
39,1,0.5296568079067854,0.4134535664504089,0.7240175324406144
40,0,0.5049814636795283,0.43056359705590963,0.7316595654674175
41,1,0.9560594719619544,0.5918513525081143,1.2437159916155711
43,1,0.37537612824275135,0.32554583628435263,0.5544858811848811
46,0,0.44191666182189965,0.4725857300120429,0.6980874587038011
48,0,0.539020801298191,0.44425585104590376,0.7601423012840479
49,1,0.489516966329119,0.37489771252620613,0.6897892811074212
52,0,0.7732682907107953,0.4489946533940328,0.9475211135759493
53,1,0.6298360365857233,0.47747487921695875,0.8846256237454653
56,0,0.45817274873825886,0.46752980385410914,0.7311948277027973
57,1,0.8086686217656223,0.7227056666827095,1.2189532703325716
59,1,0.4127435651885177,0.3650492195239394,0.5883120698908703
60,0,0.6624856821475487,0.42153470766380535,0.863753339722252
61,1,0.35440994660293534,0.4767818766100957,0.646639244558034
63,1,0.48733858169986644,0.6172185205823547,0.8827837804788747
64,0,0.5827151142452648,0.623470604704803,0.9296581307792571
65,1,0.51438870860077,0.5049303809485803,0.8190231137303634
66,0,0.5087693008443943,0.40166901851249226,0.7097457489894569
67,1,0.3905240429256907,0.39382490748758364,0.5990320068567733
68,0,0.3751486152588519,0.3265148913957556,0.5609322608024868
69,1,0.39059580024683105,0.2595550900094307,0.5160680616575222
70,0,0.4759390384506668,0.4175262551008933,0.7013544866592016
71,1,0.4398680978280515,0.40493433392513534,0.6528887229548855
72,0,0.5853093459200888,0.46249519922469984,0.82115897474263
74,0,0.5128433655275827,0.39251394249241606,0.7087929632580802
76,0,0.44926312706618177,0.37549364020421144,0.6473677198809474
77,1,0.4106267714361293,0.2955338550231647,0.5413862827859474
78,0,0.4970875634055233,0.8583886116260562,1.1227890851365465
79,1,0.4263834451187481,0.425623720888517,0.6495819236852308
80,0,0.7774775031002561,0.582136514111542,1.072266380573456
81,1,0.5629975621550577,0.4701091447442927,0.8070200705050203
84,0,0.4923291590591925,0.36488668697841437,0.687419685847522
