x,y
-6.44447148439118,4.6592792562169684e-20
-6.430843285843388,5.54758799468411e-20
-6.417215087295596,6.602932452747235e-20
-6.403586888747805,7.856275514618109e-20
-6.389958690200013,9.344235010427494e-20
-6.376330491652221,1.1110100709978462e-19
-6.362702293104429,1.320503130101321e-19
-6.349074094556638,1.5689462675908549e-19
-6.335445896008846,1.8634764207534725e-19
-6.3218176974610545,2.2125185951224833e-19
-6.308189498913263,2.6260147013552065e-19
-6.294561300365471,3.115692385188144e-19
-6.28093310181768,3.6953807211183395e-19
-6.2673049032698875,4.381380799805465e-19
-6.253676704722096,5.192900590507511e-19
-6.240048506174304,6.152565034318483e-19
-6.226420307626513,7.28701415768164e-19
-6.212792109078721,8.627604130451601e-19
-6.199163910530929,1.0211228677117011e-18
-6.185535711983138,1.2081281139762419e-18
-6.171907513435346,1.4288780851821114e-18
-6.1582793148875545,1.6893691387708495e-18
-6.144651116339762,1.996646279177452e-18
-6.131022917791971,2.358983516093722e-18
-6.117394719244179,2.786094707466806e-18
-6.103766520696388,3.289379946738156e-18
-6.090138322148595,3.8822133776101915e-18
-6.076510123600804,4.580279274851141e-18
-6.062881925053013,5.4019643368486795e-18
-6.049253726505221,6.368815418460147e-18
-6.035625527957429,7.5060734184502e-18
-6.021997329409637,8.843295755857905e-18
-6.008369130861846,1.0415081860141945e-17
-5.994740932314054,1.2261918402528526e-17
-5.981112733766262,1.4431163658459297e-17
-5.967484535218471,1.6978193468458762e-17
-5.953856336670679,1.9967734820305863e-17
-5.940228138122888,2.34754171817717e-17
-5.9265999395750955,2.7589576453778673e-17
-5.912971741027304,3.2413351884370817e-17
-5.899343542479512,3.8067122594251655e-17
-5.885715343931721,4.46913376407524e-17
-5.8720871453839285,5.2449801933462795e-17
-5.858458946836137,6.153348997671856e-17
-5.844830748288345,7.216497054141793e-17
-5.831202549740554,8.460353817802827e-17
-5.8175743511927624,9.915116222266485e-17
-5.80394615264497,1.161593809026907e-16
-5.790317954097179,1.3603728764229092e-16
-5.776689755549387,1.5926077907312717e-16
-5.7630615570015955,1.863832599944991e-16
-5.749433358453803,2.1804803008589835e-16
-5.735805159906012,2.5500261110490637e-16
-5.722176961358221,2.98115312236234e-16
-5.708548762810429,3.4839437591202505e-16
-5.694920564262637,4.070100976198185e-16
-5.681292365714845,4.753203718869111e-16
-5.667664167167054,5.549001838421175e-16
-5.654035968619262,6.47575642720287e-16
-5.64040777007147,7.554632417691725e-16
-5.626779571523678,8.810151298115832e-16
-5.613151372975887,1.0270712949899092e-15
-5.599523174428095,1.1969196930029736e-15
-5.585894975880303,1.3943655027370078e-15
-5.572266777332512,1.6238108642089416e-15
-5.55863857878472,1.8903466501453483e-15
-5.545010380236929,2.1998580466832018e-15
-5.531382181689136,2.559145974411823e-15
-5.517753983141345,2.9760666726079348e-15
-5.504125784593553,3.4596921019477213e-15
-5.490497586045762,4.020494199760464e-15
-5.47686938749797,4.670556453304563e-15
-5.463241188950178,5.423816747701388e-15
-5.449612990402387,6.296346004103285e-15
-5.435984791854595,7.306667759481516e-15
-5.422356593306803,8.476124562371716e-15
-5.408728394759011,9.82929788060926e-15
-5.39510019621122,1.1394489150614424e-14
-5.381471997663429,1.3204270657936833e-14
-5.3678437991156365,1.529611614219034e-14
-5.354215600567844,1.7713122385012896e-14
-5.340587402020053,2.0504834588438453e-14
-5.326959203472262,2.3728190106918138e-14
-5.3133310049244695,2.7448597086045552e-14
-5.299702806376678,3.174116681502992e-14
-5.286074607828886,3.6692121152144986e-14
-5.272446409281095,4.240039927093972e-14
-5.258818210733303,4.8979491242952744e-14
-5.245190012185511,5.65595296681936e-14
-5.23156181363772,6.528967474202462e-14
-5.217933615089928,7.534083286698326e-14
-5.2043054165421365,8.690875424885577e-14
-5.190677217994344,1.002175609343418e-13
-5.177049019446553,1.1552376353865688e-13
-5.163420820898761,1.331208325715082e-13
-5.14979262235097,1.5334439890639049e-13
-5.136164423803178,1.7657816767160886e-13
-5.122536225255386,2.032606408062087e-13
-5.108908026707594,2.338927558707849e-13
-5.095279828159803,2.690465625999566e-13
-5.081651629612011,3.093750743181419e-13
-5.068023431064219,3.5562344892277767e-13
-5.054395232516428,4.0864167390351436e-13
-5.040767033968636,4.69398952073326e-13
-5.027138835420844,5.390000096287678e-13
-5.013510636873052,6.187035761567806e-13
-4.999882438325261,7.099433176252164e-13
-4.98625423977747,8.143515386367058e-13
-4.972626041229677,9.337860097376186e-13
-4.958997842681886,1.0703603198544395e-12
-4.945369644134094,1.2264782035320275e-12
-4.931741445586303,1.4048723481871652e-12
-4.9181132470385105,1.6086482487506586e-12
-4.904485048490719,1.8413337466087016e-12
-4.890856849942928,2.106934967513917e-12
-4.877228651395136,2.4099994600478834e-12
-4.8636004528473435,2.755687433318824e-12
-4.849972254299552,3.149852101013407e-12
-4.836344055751761,3.5991302599620245e-12
-4.822715857203969,4.1110443664256836e-12
-4.8090876586561775,4.69411752392525e-12
-4.795459460108385,5.358002964329919e-12
-4.781831261560594,6.113629790995349e-12
-4.768203063012802,6.973366961101182e-12
-4.7545748644650105,7.951207716285777e-12
-4.740946665917219,9.06297692878268e-12
-4.727318467369427,1.0326564117335061e-11
-4.713690268821636,1.1762185206318981e-11
-4.700062070273844,1.3392676456162884e-11
-4.686433871726052,1.5243824387075272e-11
-4.67280567317826,1.7344735955451967e-11
-4.659177474630469,1.972825372766479e-11
-4.6455492760826775,2.243142133429465e-11
-4.631921077534885,2.5496005084733878e-11
-4.618292878987093,2.896907828354652e-11
-4.604664680439302,3.290367552266692e-11
-4.591036481891511,3.735952503473798e-11
-4.577408283343718,4.240386809064812e-11
-4.563780084795927,4.811237541739268e-11
-4.550151886248135,5.457017171036779e-11
-4.536523687700344,6.18729805275982e-11
-4.5228954891525515,7.012840319377584e-11
-4.50926729060476,7.945734682184692e-11
-4.495639092056969,8.999561819307807e-11
-4.482010893509177,1.0189570203800955e-10
-4.468382694961385,1.1532874424693412e-10
-4.454754496413593,1.3048676272742285e-10
-4.441126297865802,1.4758511103741258e-10
-4.42749809931801,1.6686522257692925e-10
-4.4138699007702185,1.8859766604259102e-10
-4.400241702222427,2.1308554606216594e-10
-4.386613503674635,2.4066828645880324e-10
-4.372985305126843,2.7172583747625937e-10
-4.3593571065790515,3.0668335255987285e-10
-4.34572890803126,3.460163849683706e-10
-4.332100709483468,3.902566596273313e-10
-4.318472510935677,4.399984812676217e-10
-4.3048443123878855,4.959058460666057e-10
-4.291216113840093,5.58720330774938e-10
-4.277587915292301,6.292698407205026e-10
-4.26395971674451,7.084783061905905e-10
-4.2503315181967185,7.973764255654353e-10
-4.236703319648926,8.971135632780856e-10
-4.223075121101134,1.0089709212791358e-09
-4.209446922553344,1.1343761142684617e-09
-4.195818724005552,1.2749192916036934e-09
-4.182190525457759,1.4323709625974458e-09
-4.168562326909968,1.6087016969711158e-09
-4.154934128362177,1.806103888645846e-09
-4.141305929814385,2.0270157889362167e-09
-4.127677731266592,2.2741480346904203e-09
-4.114049532718801,2.5505129181233244e-09
-4.10042133417101,2.859456668156265e-09
-4.086793135623218,3.204695038161564e-09
-4.073164937075426,3.5903525222718277e-09
-4.059536738527635,4.021005552028338e-09
-4.045908539979843,4.501730057293948e-09
-4.032280341432051,5.038153810245286e-09
-4.018652142884259,5.636514009097055e-09
-4.005023944336468,6.303720599226672e-09
-3.991395745788676,7.047425873803131e-09
-3.9777675472408847,7.876100944138721e-09
-3.964139348693093,8.799119722054084e-09
-3.950511150145301,9.826851112865684e-09
-3.9368829515975095,1.097076017849277e-08
-3.9232547530497177,1.224351909595982e-08
-3.909626554501926,1.3659128807608045e-08
-3.8959983559541342,1.5233052335988683e-08
-3.8823701574063425,1.6982360819105915e-08
-3.8687419588585508,1.89258934108147e-08
-3.8551137603107595,2.1084432287228645e-08
-3.8414855617629677,2.3480894103406834e-08
-3.827857363215176,2.6140539355888e-08
-3.8142291646673843,2.9091201226351136e-08
-3.8006009661195925,3.236353561034885e-08
-3.786972767571801,3.599129417330918e-08
-3.773344569024009,4.001162242440653e-08
-3.7597163704762173,4.4465384958177856e-08
-3.7460881719284256,4.9397520184526276e-08
-3.7324599733806343,5.485742705081215e-08
-3.7188317748328426,6.089938645576065e-08
-3.705203576285051,6.758302026477818e-08
-3.691575377737259,7.497379106076796e-08
-3.6779471791894673,8.314354600452275e-08
-3.6643189806416756,9.217110843522418e-08
-3.650690782093884,1.0214292111534955e-07
-3.637062583546092,1.1315374531646295e-07
-3.6234343849983004,1.2530742025391005e-07
-3.609806186450509,1.3871768771043818e-07
-3.5961779879027174,1.5350908704234908e-07
-3.5825497893549256,1.6981792613807793e-07
-3.568921590807134,1.8779333429931398e-07
-3.555293392259342,2.0759840344011746e-07
-3.5416651937115504,2.2941142445123948e-07
-3.5280369951637587,2.534272260563292e-07
-3.514408796615967,2.7985862399523746e-07
-3.500780598068175,3.089379889085686e-07
-3.487152399520384,3.409189418684396e-07
-3.473524200972592,3.760781871044812e-07
-3.4598960024248004,4.1471749211290383e-07
